lat,lon,value
-38.0,-72.0,1.0129032135009766
-38.0,-71.0,1.0024768114089966
-37.0,-74.0,1.2888355255126953
-37.0,-73.0,1.175336480140686
-37.0,-72.0,1.0953285694122314
-37.0,-71.0,0.8708831667900085
-36.0,-73.0,1.1585966348648071
-36.0,-72.0,1.182843804359436
-36.0,-71.0,0.9773046374320984
-36.0,-70.0,0.8175013661384583
-35.0,-73.0,1.19868803024292
-35.0,-72.0,1.2540109157562256
-35.0,-71.0,0.554760754108429
-35.0,-70.0,-0.17534618079662323
-35.0,19.0,0.6431577801704407
-35.0,20.0,0.637530505657196
-34.0,-79.0,0.9414849281311035
-34.0,-72.0,1.2182484865188599
-34.0,-71.0,1.1649490594863892
-34.0,-70.0,0.5005006790161133
-34.0,-54.0,-0.05724099650979042
-34.0,-53.0,-0.5155975222587585
-34.0,18.0,0.7679502367973328
-34.0,19.0,0.5985022187232971
-34.0,20.0,0.6775248050689697
-34.0,21.0,0.7776920795440674
-34.0,22.0,0.8806416392326355
-34.0,23.0,0.8121922612190247
-34.0,24.0,0.7951526641845703
-34.0,25.0,0.769401490688324
-34.0,26.0,0.8459532856941223
-34.0,27.0,0.8565601706504822
-33.0,-72.0,1.2626091241836548
-33.0,-71.0,1.3407984972000122
-33.0,-70.0,0.15846796333789825
-33.0,-53.0,-0.14156024158000946
-33.0,-52.0,-0.3265356719493866
-33.0,18.0,0.7543199062347412
-33.0,19.0,0.6927843689918518
-33.0,20.0,0.9716526865959167
-33.0,21.0,1.1855491399765015
-33.0,22.0,1.2636432647705078
-33.0,23.0,1.2897447347640991
-33.0,24.0,1.1979186534881592
-33.0,25.0,1.10049569606781
-33.0,26.0,0.9726712703704834
-33.0,27.0,0.8988601565361023
-33.0,28.0,0.9557725787162781
-33.0,29.0,0.9306607842445374
-32.0,-72.0,1.4952874183654785
-32.0,-71.0,0.7646366953849792
-32.0,-70.0,-0.15310604870319366
-32.0,-55.0,0.20715290307998657
-32.0,-54.0,0.24042201042175293
-32.0,-53.0,0.0599248893558979
-32.0,-52.0,-0.09414098411798477
-32.0,-51.0,-0.18217428028583527
-32.0,18.0,0.6988286375999451
-32.0,19.0,0.8285171389579773
-32.0,20.0,1.25665283203125
-32.0,21.0,1.5780755281448364
-32.0,22.0,1.7752691507339478
-32.0,23.0,1.851737380027771
-32.0,24.0,1.7919546365737915
-32.0,25.0,1.6844334602355957
-32.0,26.0,1.6105666160583496
-32.0,27.0,1.4435147047042847
-32.0,28.0,1.1989933252334595
-32.0,29.0,1.0862603187561035
-32.0,30.0,1.017045259475708
-31.0,-72.0,1.5047239065170288
-31.0,-71.0,1.268813133239746
-31.0,-70.0,1.0079457759857178
-31.0,-56.0,0.29533183574676514
-31.0,-55.0,0.284047394990921
-31.0,-54.0,0.3036557137966156
-31.0,-53.0,0.25651422142982483
-31.0,-52.0,0.11371099203824997
-31.0,-51.0,0.08112656325101852
-31.0,-50.0,-0.050792280584573746
-31.0,17.0,0.6613410711288452
-31.0,18.0,0.7134037017822266
-31.0,19.0,1.009953260421753
-31.0,20.0,1.4642268419265747
-31.0,21.0,1.8319326639175415
-31.0,22.0,2.0780889987945557
-31.0,23.0,2.1626803874969482
-31.0,24.0,2.127548933029175
-31.0,25.0,2.064067840576172
-31.0,26.0,1.9972009658813477
-31.0,27.0,1.885777473449707
-31.0,28.0,1.6451267004013062
-31.0,29.0,1.41692054271698
-31.0,30.0,1.2741085290908813
-31.0,31.0,1.1090418100357056
