country,quarter,PRITHVI_MOISTURE_ANOM,PRITHVI_MOISTURE_STD
CHL,1990-01-01,-0.0003415734,-0.52678764
CHL,1990-04-01,0.00045116278,0.6958006
CHL,1990-07-01,3.1097326e-05,0.047959495
CHL,1990-10-01,0.0007873403,1.2142665
CHL,1991-01-01,0.000412274,0.63582486
CHL,1991-04-01,-5.94339e-06,-0.009166125
CHL,1991-07-01,-0.0005594984,-0.86287993
CHL,1991-10-01,8.385163e-06,0.012931921
CHL,1992-01-01,-0.00065201445,-1.0055618
CHL,1992-04-01,0.00038132537,0.58809465
CHL,1992-07-01,-0.0011147489,-1.7192086
CHL,1992-10-01,0.00033235535,0.5125712
CHL,1993-01-01,0.00053585303,0.82641315
CHL,1993-04-01,0.00026422614,0.40749973
CHL,1993-07-01,-0.00028984156,-0.4470048
CHL,1993-10-01,0.00023765226,0.36651647
CHL,1994-01-01,-0.00041357553,-0.6378321
CHL,1994-04-01,0.0006318271,0.9744281
CHL,1994-07-01,-0.0001348139,-0.2079152
CHL,1994-10-01,-0.00013859959,-0.21375361
CHL,1995-01-01,-0.0005792722,-0.89337593
CHL,1995-04-01,0.0002453945,0.37845686
CHL,1995-07-01,-0.0001470816,-0.22683492
CHL,1995-10-01,-0.0009111127,-1.405153
CHL,1996-01-01,0.0003198216,0.49324122
CHL,1996-04-01,-0.0001332527,-0.20550744
CHL,1996-07-01,-0.0008775124,-1.3533334
CHL,1996-10-01,0.00050733675,0.7824343
CHL,1997-01-01,5.5112564e-06,0.008499672
CHL,1997-04-01,0.00043642116,0.67306554
CHL,1997-07-01,2.6085103e-05,0.04022945
CHL,1997-10-01,9.405054e-05,0.14504836
CHL,1998-01-01,-0.0007012792,-1.0815398
CHL,1998-04-01,-0.001990201,-3.0693645
CHL,1998-07-01,0.00065470085,1.0097048
CHL,1998-10-01,0.0006160939,0.9501638
CHL,1999-01-01,-0.00059343706,-0.91522145
CHL,1999-04-01,-0.00090533885,-1.3962485
CHL,1999-07-01,-0.00015291618,-0.23583323
CHL,1999-10-01,-0.0006121597,-0.9440963
CHL,2000-01-01,-0.00021433255,-0.33055192
CHL,2000-04-01,-0.00021867221,-0.33724472
CHL,2000-07-01,-0.0010838449,-1.6715474
CHL,2000-10-01,0.00046724608,0.7206049
CHL,2001-01-01,0.001904247,2.936803
CHL,2001-04-01,-7.371899e-05,-0.11369227
CHL,2001-07-01,-0.00056062156,-0.86461216
CHL,2001-10-01,-0.0004309703,-0.664659
CHL,2002-01-01,-0.00013723706,-0.21165228
CHL,2002-04-01,4.9429636e-05,0.07623229
CHL,2002-07-01,-0.00046427827,-0.71602786
CHL,2002-10-01,0.0010721983,1.6535854
CHL,2003-01-01,0.0005553959,0.85655296
CHL,2003-04-01,-0.00047737043,-0.73621905
CHL,2003-07-01,-0.0002824481,-0.43560234
CHL,2003-10-01,0.0010690653,1.6487536
CHL,2004-01-01,-0.0004910336,-0.7572909
CHL,2004-04-01,0.00018719964,0.28870648
CHL,2004-07-01,-0.00029868897,-0.46064964
