country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
CHL,1981-07-01,-3.2928696,-1.1613348
CHL,1981-10-01,1.3862143,0.48889235
CHL,1982-01-01,3.5100546,1.2379318
CHL,1982-04-01,-1.7999111,-0.63479567
CHL,1982-07-01,-3.030651,-1.068855
CHL,1982-10-01,1.5387439,0.54268676
CHL,1983-01-01,4.316805,1.522458
CHL,1983-04-01,-1.8789696,-0.6626781
CHL,1983-07-01,-3.7442634,-1.320533
CHL,1983-10-01,1.9451909,0.6860331
CHL,1984-01-01,3.2400525,1.1427071
CHL,1984-04-01,-3.1345036,-1.105482
CHL,1984-07-01,-4.0053267,-1.4126053
CHL,1984-10-01,1.7061571,0.6017303
CHL,1985-01-01,3.500492,1.2345593
CHL,1985-04-01,-1.7251902,-0.6084429
CHL,1985-07-01,-3.309777,-1.1672976
CHL,1985-10-01,1.6377091,0.57759
CHL,1986-01-01,2.9005353,1.0229657
CHL,1986-04-01,-2.3404627,-0.82543826
CHL,1986-07-01,-3.3910408,-1.1959579
CHL,1986-10-01,1.4706793,0.5186816
CHL,1987-01-01,3.946407,1.3918254
CHL,1987-04-01,-1.7216601,-0.60719794
CHL,1987-07-01,-3.5928924,-1.2671473
CHL,1987-10-01,1.8745518,0.66112
CHL,1988-01-01,3.7825072,1.3340209
CHL,1988-04-01,-1.7523485,-0.6180212
CHL,1988-07-01,-3.6746025,-1.295965
CHL,1988-10-01,1.1022047,0.38872737
CHL,1989-01-01,3.6674287,1.2934349
CHL,1989-04-01,-1.7663797,-0.62296975
CHL,1989-07-01,-3.6567688,-1.2896752
CHL,1989-10-01,1.6554657,0.5838524
CHL,1990-01-01,3.7696378,1.3294821
CHL,1990-04-01,-2.1266258,-0.7500219
CHL,1990-07-01,-3.249358,-1.145989
CHL,1990-10-01,1.16856,0.4121297
CHL,1991-01-01,3.5217807,1.2420675
CHL,1991-04-01,-1.82937,-0.64518523
CHL,1991-07-01,-3.7067566,-1.3073051
CHL,1991-10-01,0.6277137,0.2213831
CHL,1992-01-01,3.7844226,1.3346964
CHL,1992-04-01,-2.8532474,-1.006288
CHL,1992-07-01,-4.0491533,-1.4280621
CHL,1992-10-01,1.4219445,0.50149375
CHL,1993-01-01,3.8115237,1.3442545
CHL,1993-04-01,-2.1609275,-0.76211953
CHL,1993-07-01,-3.1045377,-1.0949135
CHL,1993-10-01,1.646417,0.58066106
CHL,1994-01-01,3.8114507,1.3442287
CHL,1994-04-01,-1.4689331,-0.51806575
CHL,1994-07-01,-3.1329165,-1.1049222
CHL,1994-10-01,1.7280973,0.6094682
CHL,1995-01-01,3.5740862,1.2605146
CHL,1995-04-01,-1.302576,-0.45939463
CHL,1995-07-01,-4.197432,-1.4803573
CHL,1995-10-01,1.8735625,0.66077113
CHL,1996-01-01,3.0825243,1.0871497
CHL,1996-04-01,-1.892398,-0.66741407
CHL,1996-07-01,-2.8522835,-1.0059481
CHL,1996-10-01,1.4875582,0.5246345
CHL,1997-01-01,3.5685093,1.2585478
CHL,1997-04-01,-1.4830428,-0.523042
CHL,1997-07-01,-2.996234,-1.0567168
CHL,1997-10-01,1.4730062,0.5195023
CHL,1998-01-01,4.6229773,1.6304393
CHL,1998-04-01,-0.609968,-0.21512453
CHL,1998-07-01,-2.8778288,-1.0149574
CHL,1998-10-01,1.8266569,0.6442284
CHL,1999-01-01,3.691141,1.3017977
CHL,1999-04-01,-1.7881898,-0.6306617
CHL,1999-07-01,-3.1887243,-1.1246046
CHL,1999-10-01,1.8758005,0.6615604
CHL,2000-01-01,3.1700346,1.118013
CHL,2000-04-01,-1.9110209,-0.673982
CHL,2000-07-01,-4.0804048,-1.4390839
CHL,2000-10-01,1.2217537,0.4308901
CHL,2001-01-01,3.1986325,1.128099
CHL,2001-04-01,-2.0467298,-0.7218441
CHL,2001-07-01,-3.408168,-1.2019984
CHL,2001-10-01,1.7748989,0.6259743
CHL,2002-01-01,3.469148,1.2235048
CHL,2002-04-01,-2.7116137,-0.9563364
CHL,2002-07-01,-3.3373775,-1.1770319
CHL,2002-10-01,1.3333358,0.47024307
CHL,2003-01-01,3.8573027,1.3603998
CHL,2003-04-01,-1.1146506,-0.39311683
CHL,2003-07-01,-2.6419919,-0.93178207
CHL,2003-10-01,1.3975538,0.49289158
CHL,2004-01-01,4.5976233,1.6214974
CHL,2004-04-01,-1.286529,-0.45373517
CHL,2004-07-01,-3.0528724,-1.0766921
CHL,2004-10-01,1.8354511,0.6473299
CHL,2005-01-01,4.05295,1.429401
CHL,2005-04-01,-2.2490754,-0.79320765
CHL,2005-07-01,-3.1886988,-1.1245955
CHL,2005-10-01,1.5063726,0.53126997
CHL,2006-01-01,4.0453067,1.4267055
CHL,2006-04-01,-1.2866325,-0.4537717
CHL,2006-07-01,-2.7652156,-0.9752408
CHL,2006-10-01,1.5557991,0.5487018
CHL,2007-01-01,3.7395236,1.3188614
CHL,2007-04-01,-2.2111883,-0.77984554
