country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter
COL,-3.31137254,1.6159752405267458,4.740719041603358,-14.60501031,4.142204161360614,10/1/20
COL,1.4810559206384075,1.5554286691126462,-8.06679771,1.5187018818763942,4.808156229215516,1/1/21
COL,18.39563043223853,2.9574798784416156,-0.059591743,45.18752588871606,7.336578467736064,4/1/21
COL,13.31845694,4.307275315901582,-1.141033375,39.31341581332608,11.23226504243647,7/1/21
COL,11.123759422533542,5.155328989910246,15.98426802621995,52.49051838108338,15.44655848042712,10/1/21
COL,8.211067842084386,7.828922729194154,0.3007832674589483,45.14110202,22.88279145254815,1/1/22
COL,12.230521467491284,9.325127845,9.870443770679891,69.30524293912363,23.76541612429934,4/1/22
COL,7.477230730081885,10.828935555214914,18.186393649535297,41.90749775956792,25.60746127925017,7/1/22
COL,2.3061458143453617,12.627093812496735,20.824081423504715,6.270220236983692,27.30937174556797,10/1/22
COL,2.643340166279695,13.292168950003514,23.454771020370057,-4.679050312,23.99871613383823,1/1/23
COL,0.425070996,12.435995540279963,1.545983374803428,-21.80047369,16.13196686337179,4/1/23
COL,-0.667400354,11.399633707474276,-10.55389701,-19.88776076,12.37647983228276,7/1/23
COL,0.5816728894723289,9.963604102907444,-20.54280487,-4.050043422,7.832552379443899,10/1/23
COL,0.2104269960896854,7.81103252,-16.96399821,-7.886930063,2.189977998033577,1/1/24
COL,1.6419299559035538,7.167567102649741,-1.031665744,3.4278075459826196,4.211139688,4/1/24
COL,1.8100224850995827,6.260903452499189,2.724630959898944,3.7375374722243615,3.782303136034617,7/1/24
COL,2.6196027197805227,5.268540557732138,15.36086655067306,1.2317219626162723,2.466746161174449,10/1/24
COL,2.6453703707700837,5.196183984,9.116154386695465,12.70295695890933,4.576913341906448,1/1/25
COL,2.128951504,5.011042379125241,-1.889326043,3.157506569477908,4.542010842389928,4/1/25
COL,3.5618295280362977,5.057683101685306,-6.313802618,,5.758832073051535,7/1/25
IDN,18.57196684420652,4.444740604,3.5087719298245723,10.350636746427956,,1/1/97
IDN,15.91305760824442,4.873194258249769,4.611443210930832,7.517485834506488,,4/1/97
IDN,19.160858096966304,6.364262154468303,39.95726495726495,9.959826519965809,,7/1/97
IDN,17.793537346551002,9.173865964604122,95.13218632,2.424827767730675,,10/1/97
IDN,44.57449406829779,27.718509029588233,244.1504754030591,0.8856975480684204,,1/1/98
IDN,49.10678837443629,49.66628586961854,508.16326530612247,-9.70162039,,4/1/98
IDN,62.017410598888254,76.32583961,226.7175572519084,-9.876501206,,7/1/98
IDN,52.47634831,78.39576771,72.58064516129032,-13.78496842,,10/1/98
IDN,29.647515325571284,55.74894264730945,4.324324324324325,-14.85017375,,1/1/99
IDN,21.785036505733625,30.862444000102073,-54.8590604,-3.832299217,,4/1/99
IDN,5.179306825219432,6.639563719979558,-21.62616822,3.349797814695088,,7/1/99
IDN,7.367589061188462,1.6994548761680717,-11.71339564,12.129736057476537,,10/1/99
IDN,8.319604992203322,-0.593895049,-12.60794473,30.370789577743594,,1/1/00
IDN,12.98037036,1.093032635598612,29.869164436515018,30.48200843199551,,4/1/00
IDN,18.281766333145775,5.680462507864892,4.698306701645594,29.948805738177995,,7/1/00
IDN,20.34853937808141,8.763170528337172,35.42695836273817,20.925384983050233,,10/1/00
IDN,18.56002078,9.334452690601292,37.02239789196311,6.789108806832367,,1/1/01
IDN,23.173944650104698,11.155623427059712,30.96737264,-5.246350863,,4/1/01
IDN,18.325248715206843,12.759751176042156,10.193621867881554,-15.48942923,,7/1/01
IDN,14.230478735749074,12.642131455378935,8.389786347055761,-20.42670531,,10/1/01
