country,quarter,PRITHVI_MOISTURE_EXTENT
MEX,2004-10-01,0.04514845423936333
MEX,2005-01-01,0.06619222528313437
MEX,2005-04-01,0.06795224977043159
MEX,2005-07-01,0.007767064585246403
MEX,2005-10-01,0.09695439240893787
MEX,2006-01-01,0.17148760330578514
MEX,2006-04-01,0.0859351086623814
MEX,2006-07-01,0.004935720844811754
MEX,2006-10-01,0.036348331802877255
MEX,2007-01-01,0.06852617079889807
MEX,2007-04-01,0.07242883379247016
MEX,2007-07-01,0.005624426078971533
MEX,2007-10-01,0.0627104377104377
MEX,2008-01-01,0.1738215488215488
MEX,2008-04-01,0.07747933884297521
MEX,2008-07-01,0.0031756963575145397
MEX,2008-10-01,0.10770584634220998
MEX,2009-01-01,0.15924395469850017
MEX,2009-04-01,0.06806703397612489
MEX,2009-07-01,0.012396694214876033
MEX,2009-10-01,0.02337771655953474
MEX,2010-01-01,0.04335016835016834
MEX,2010-04-01,0.04354147535965718
MEX,2010-07-01,0.004782675237220692
MEX,2010-10-01,0.14535506580961124
MEX,2011-01-01,0.22704315886134066
MEX,2011-04-01,0.1605448423630242
MEX,2011-07-01,0.007843587389041935
MEX,2011-10-01,0.08750382614018977
MEX,2012-01-01,0.11183807774716865
MEX,2012-04-01,0.0889194980104071
MEX,2012-07-01,0.005700948882767065
MEX,2012-10-01,0.10284664830119376
MEX,2013-01-01,0.1553030303030303
MEX,2013-04-01,0.10280838689929599
MEX,2013-07-01,0.002027854300581573
MEX,2013-10-01,0.01549586776859504
MEX,2014-01-01,0.13161922252831346
MEX,2014-04-01,0.09511784511784512
MEX,2014-07-01,0.0020278543005815735
MEX,2014-10-01,0.03967707376798286
MEX,2015-01-01,0.026782981328435873
MEX,2015-04-01,0.02379859198041016
MEX,2015-07-01,0.005012243648607285
MEX,2015-10-01,0.03849097030915213
MEX,2016-01-01,0.08199418426691153
MEX,2016-04-01,0.03458830731558004
MEX,2016-07-01,0.001645240281603918
MEX,2016-10-01,0.039638812366085095
MEX,2017-01-01,0.125650443832262
MEX,2017-04-01,0.05559381695745332
MEX,2017-07-01,0.002066115702479339
MEX,2017-10-01,0.07281144781144781
MEX,2018-01-01,0.10544842363024182
MEX,2018-04-01,0.05651209060299969
MEX,2018-07-01,0.005700948882767065
MEX,2018-10-01,0.02356902356902357
MEX,2019-01-01,0.09006734006734007
MEX,2019-04-01,0.07652280379553107
MEX,2019-07-01,0.006274869911233547
MEX,2019-10-01,0.030800428527701252
MEX,2020-01-01,0.06611570247933884
MEX,2020-04-01,0.06060606060606061
MEX,2020-07-01,0.011707988980716254
MEX,2020-10-01,0.12660697887970615
MEX,2021-01-01,0.14826293235384144
MEX,2021-04-01,0.07713498622589532
MEX,2021-07-01,0.0029843893480257116
MEX,2021-10-01,0.05781297826752372
MEX,2022-01-01,0.13395316804407714
MEX,2022-04-01,0.07594888276706459
MEX,2022-07-01,0.006466176920722375
MEX,2022-10-01,0.05765993265993266
MEX,2023-01-01,0.13525405570860116
MEX,2023-04-01,0.08834557698194062
MEX,2023-07-01,0.015113253749617387
MEX,2023-10-01,0.04113100704009795
MEX,2024-01-01,0.10613712886440159
MEX,2024-04-01,0.12186256504438321
MEX,2024-07-01,0.008187940006121825
MEX,2024-10-01,0.12059993878175697
PER,1981-01-01,0.0306204673650282
PER,1981-04-01,0.06088280060882801
PER,1981-07-01,0.16339869281045752
PER,1981-10-01,0.024174053182917002
PER,1982-01-01,0.0149520995612857
PER,1982-04-01,0.11361804995970992
PER,1982-07-01,0.14665592264302982
PER,1982-10-01,0.005013877697197601
PER,1983-01-01,0.005372011818426
PER,1983-04-01,0.10072522159548751
PER,1983-07-01,0.20959799444892113
PER,1983-10-01,0.0157579013340496
PER,1984-01-01,0.0035813412122840007
PER,1984-04-01,0.022293849046467903
PER,1984-07-01,0.11782612588414361
PER,1984-10-01,0.009401020682245501
PER,1985-01-01,0.03975288745635241
PER,1985-04-01,0.05488405407825231
PER,1985-07-01,0.09929268511057392
PER,1985-10-01,0.029725132061957205
PER,1986-01-01,0.0012534694242994002
PER,1986-04-01,0.08389291789775272
PER,1986-07-01,0.11827379353567911
PER,1986-10-01,0.009759154803473901
PER,1987-01-01,0.0020592711970633002
