country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD_OLD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,country_add,dates,PRITHVI_MOISTURE_STD_ALL,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_FARM,PRITHVI_MOISTURE_NO_FARM
PHL,13.266704777873016,3.901018922853261,-5.756004874,42.94995853,,1/1/10,2010,3.7852571489683076,-5.650294603,1.7452658449103264,12.2,41.78524192,1.2233333333333334,-0.309863955,-1.575401305,0.1296296296296296,0.02261396,10.382180892427613,4.513379901387045,-14.53565176,34.859569196911515,PHL,1-Jan-10,0.000292152,-6.15E-05,-6.15E-05,-0.000447766
PHL,13.374865162061166,3.835063437139863,-4.135960917,22.806653214123628,,4/1/10,2010,3.7852571489683076,-5.650294603,2.913595029,10.7,24.807968027190498,-0.176666667,2.148825147941125,-0.423352507,0.050747863,0.1762820512820513,10.754367328826538,4.253295909820247,-3.898376957,35.493340399514175,PHL,1-Apr-10,-0.00081105,-0.000115262,-0.000115262,-0.000997162
PHL,11.46971492823372,3.8648726023481794,-7.378726816,39.94346901271055,,7/1/10,2010,3.7852571489683076,-5.650294603,3.344209253779229,9.9,14.452423567610296,-1.353333333,0.989108994,1.363359774097778,0.000356125,0.016915954,10.443436924241636,4.147731689,-5.532394109,30.040075191764153,PHL,1-Jul-10,-0.00087952,-0.000120892,-0.000120892,-0.00104657
PHL,10.334898001811776,3.540073633531926,-5.330485806,21.656167489555965,,10/1/10,2010,3.7852571489683076,-5.650294603,2.7759609093124693,9.9,17.70523308924561,-1.643333333,0.029782737,0.5874003151849219,0.003561254,0.001424501,9.712770361447248,4.276809413870588,-4.670233727,31.37249586509585,PHL,1-Oct-10,-0.000668845,-7.48E-05,-7.48E-05,-0.000563648
PHL,9.276535061854885,4.511067525917589,-4.821178121,7.8407584776048145,,1/1/11,2011,4.718071465691715,-2.849065986,2.037797199613345,10.1,31.543561255953612,-1.193333333,-1.182452327,0.5238058255148578,0.011039886,0,10.07232441378757,4.770304851169838,-3.700227285,31.182467268853692,PHL,1-Jan-11,0.000517376,-1.60E-05,-1.60E-05,-0.00012474
PHL,8.160055066727212,4.943071369064178,-6.080760095,1.1877635891346603,,4/1/11,2011,4.718071465691715,-2.849065986,1.7437088645501977,9.9,39.94884474991252,-0.556666667,0.7791313413113107,0.8718219561757363,0.006944444,0.025462963,9.435019230277398,5.605542784112966,-5.808246615,33.08886888,PHL,1-Apr-11,0.001598062,-9.88E-07,-9.88E-07,-7.42E-06
PHL,7.017884540110764,4.740904079382502,-0.592309094,-14.6608811,,7/1/11,2011,4.718071465691715,-2.849065986,0.9426534645672336,9.3,36.27289891301688,-0.626666667,0.662742595,1.4146838277415923,0.00267094,0.014423077,9.078001635,6.040753085545344,7.6509625311142795,27.06765386940323,PHL,1-Jul-11,0.001812682,-2.31E-07,-2.31E-07,-1.32E-06
PHL,7.402499808569862,4.6772428884025885,0.097983366,-17.42375064,,10/1/11,2011,4.718071465691715,-2.849065986,1.543075871606514,8.7,14.473659021575337,-1.1,0.1358174243958833,0.7583021581461279,0,0.000356125,7.794617852526697,6.474707576773081,8.526496933399368,10.387122040802556,PHL,1-Oct-11,0.001888691,-9.81E-08,-9.81E-08,-4.35E-07
PHL,8.010055512827808,3.168813795278691,-0.994658316,5.383084349411527,,1/1/12,2012,3.027647633168218,-3.507881077,2.6380693108862374,8.1,3.151662237546482,-0.716666667,-0.467842188,-0.024842106,0.004451567,0.000178063,8.081429239725901,5.915279301599545,4.601339415,6.764028674,PHL,1-Jan-12,0.001689072,0,0,0
PHL,8.180737129270298,2.793703003735293,-2.784292086,10.712698559595712,,4/1/12,2012,3.027647633168218,-3.507881077,2.403335839137921,7.7,-9.172579949,-0.266666667,1.2861284433805904,0.3378845374944741,0.014957265,0.0877849,8.158610415297376,5.418260473131449,10.774226783192848,-4.864836984,PHL,1-Apr-12,0.001495773,-1.41E-06,-1.41E-06,-8.84E-06
PHL,10.03943759206063,3.319686132166133,-4.024200202,6.878276300039077,,7/1/12,2012,3.027647633168218,-3.507881077,2.5737123144880414,7.5,-5.715185213,0.3666666666666667,0.5636437785404647,1.6613632545772683,0.004807692,0.013354701,7.387904774805981,4.7996028459210045,-1.021006998,-4.779875845,PHL,1-Jul-12,0.001502801,-4.19E-07,-4.19E-07,-1.27E-06
