date,SOI,PDO,WestenV,NINO1+2,NINO3,NINO4,NINO3+4
12/31/88,2.5,-0.989,0.583266679,-0.3,-1.44,-1.72,-1.97
1/31/89,2,-1.094,,-0.06,-0.96,-1.53,-1.47
2/28/89,1.8,-0.87,,-0.15,-1.01,-1.16,-1.21
3/31/89,2.7,-0.122,0.637811646,-0.09,-0.86,-1.01,-1.08
4/30/89,2,0.011,,-1.2,-0.83,-0.79,-0.88
5/31/89,1.2,0.071,,-1.08,-0.32,-0.92,-0.59
6/30/89,1.5,0.571,0.171369767,-0.79,-0.45,-0.85,-0.57
7/31/89,-0.5,-0.079,,-0.3,-0.4,-0.77,-0.53
8/31/89,0.8,-0.202,,-0.65,-0.3,-0.5,-0.3
9/30/89,1.3,-0.231,0.27709226,-0.48,-0.4,-0.45,-0.4
10/31/89,-0.4,-0.552,,-0.24,-0.59,-0.54,-0.45
11/30/89,-0.9,0,,-0.4,-0.38,-0.12,-0.13
12/31/89,-0.1,-0.254,-0.194862137,-0.48,-0.29,0.16,0.01
1/31/90,-3,-0.837,,-0.16,0.01,0.38,0.21
2/28/90,-0.7,-0.707,,-0.44,-0.28,0.31,0.04
3/31/90,0.3,0.105,-0.520594422,-0.52,-0.1,0.12,0.08
4/30/90,2,-0.047,,-0.24,0.16,-0.06,0.08
5/31/90,0.5,-0.136,,-0.3,-0.04,-0.05,-0.08
6/30/90,0.9,-0.047,-0.20392949,-0.66,0.01,0.02,0.09
7/31/90,-0.3,0.004,,-0.44,0.11,0.13,0.22
8/31/90,-1.2,0.058,,-0.49,0.12,0.22,0.22
9/30/90,0.4,-0.701,-0.458521466,-0.7,-0.14,0.39,0.21
10/31/90,-0.8,-1.439,,-0.65,-0.2,0.5,0.1
11/30/90,-0.4,-1.722,,-0.5,-0.08,0.65,0.35
12/31/90,1,-1.302,-0.886840573,-0.54,0.13,0.58,0.49
1/31/91,0.4,-0.65,,-0.38,0,0.54,0.32
2/28/91,-1.1,-0.61,,-0.21,-0.16,0.34,0.03
3/31/91,-1,-1.198,-0.936127994,-0.3,-0.05,0.34,0.19
4/30/91,-1.7,-1.176,,-0.33,0.24,0.46,0.26
5/31/91,-0.2,-1.826,,0.21,0.68,0.38,0.52
6/30/91,0,-1.171,-0.434903801,0.6,0.83,0.45,0.76
7/31/91,-0.7,-0.317,,0.37,0.51,0.47,0.68
8/31/91,-2.5,0.613,,0.46,0.36,0.33,0.42
9/30/91,-1.7,0.545,-0.377625718,0.65,0.61,0.7,0.86
10/31/91,-1.1,0.598,,0.72,0.95,0.69,1.2
11/30/91,-2.9,-0.042,,0.83,1.25,0.81,1.69
12/31/91,-4.7,0.244,-0.834508338,0.47,1.37,0.62,1.84
1/31/92,-1.5,0.27,,0.61,1.27,0.89,1.78
2/29/92,-3.3,0.207,,1.24,1.05,0.64,1.38
3/31/92,-1.7,0.615,-0.634989082,2.19,1.17,0.46,1.2
4/30/92,0.4,1.349,,2.22,1.19,0.31,1.04
5/31/92,-1,1.239,,0.85,0.55,0.27,0.58
6/30/92,-1,1.579,-0.505226381,-0.07,-0.06,0.31,0.22
7/31/92,0.6,1.113,,-0.14,-0.08,0.14,0.05
8/31/92,0.1,0.872,,0.03,-0.07,0.1,-0.06
9/30/92,-2.3,1.377,-0.737947758,0.01,-0.34,0,-0.3
10/31/92,-1.1,1.35,,-0.07,-0.46,-0.01,-0.28
11/30/92,-0.9,0.474,,-0.1,-0.36,0.07,-0.15
12/31/92,-1.5,0.01,-0.761537386,-0.01,-0.11,0.22,0.14
1/31/93,-1.2,0.312,,0.3,0.39,0.1,0.41
2/28/93,-0.8,0.545,,0.6,0.4,0.05,0.39
3/31/93,-1.9,1.123,-0.850729222,1.25,0.84,0.04,0.59
4/30/93,-0.6,1.776,,1.15,1.07,0.07,0.78
5/31/93,-1.4,1.928,,1.04,0.44,0.04,0.35
6/30/93,-1.3,1.464,-0.391161679,0.7,0.24,0.07,0.23
7/31/93,-1.6,1.962,,0.56,0.24,0.13,0.13
8/31/93,-1.2,1.437,,0.38,0.32,0.3,0.35
9/30/93,-1.8,1.478,-0.517483934,0.55,0.13,0.02,0.06
10/31/93,-0.1,1.229,,0.31,-0.01,0.09,0
11/30/93,0.3,0.752,,0.02,0.09,0.18,0.16
12/31/93,-0.2,0.945,-0.463210763,-0.09,0.2,0.11,0.1
1/31/94,0.4,0.556,,-0.33,-0.08,-0.06,0.06
2/28/94,-1.1,0.481,,-1.01,-0.35,0.05,0.11
3/31/94,-2.1,0.717,-0.281731997,-1.27,-0.38,0.11,0.26
4/30/94,-1.1,0.684,,-1.06,-0.1,0.23,0.31
5/31/94,-0.7,0.152,,-0.91,-0.06,0.26,0.32
6/30/94,-2.2,-0.472,-0.031420214,-0.87,-0.28,0.5,0.24
7/31/94,-2,-0.426,,-1.03,-0.26,0.71,0.53
8/31/94,-2.6,-0.886,,-0.15,-0.05,0.54,0.48
9/30/94,-1.9,-0.591,-0.521451162,0.8,0.52,0.69,0.75
