country,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,quarter
COL,26.206530302374187,10.177231354616543,-11.466304497151548,45.59748815372045,2022-01-01
COL,22.57239682342478,,,55.6400323205481,2022-04-01
COL,28.643079161955697,,,39.90031179319309,2022-07-01
COL,19.191361733815416,,,13.425793201221904,2022-10-01
COL,6.755013991377412,11.735904494868944,-1.8929213637754791,4.6013463529811505,2023-01-01
COL,-5.240828380707541,,,-9.08415665900215,2023-04-01
COL,-11.490878700832551,,,-5.362744063593916,2023-07-01
COL,-14.73971694940318,,,1.8529939574747356,2023-10-01
COL,-5.963659272240607,6.609085937282266,5.867833141540513,-2.3062836236234507,2024-01-01
COL,9.04883429159844,,,7.588908698605468,2024-04-01
COL,9.79467611748912,,,6.06556554683122,2024-07-01
COL,20.55390338244771,,,5.0220936035551,2024-10-01
IDN,18.07372697125864,10.453200187334756,-7.912623994826062,16.582922765941245,2005-01-01
IDN,18.921286463202037,,,25.74524490385488,2005-04-01
IDN,19.539410214710703,,,37.18567944248032,2005-07-01
IDN,26.271689702568413,,,23.988635307813546,2005-10-01
IDN,24.05142860085947,13.108670985345938,5.855440714302684,-3.613993374407676,2006-01-01
IDN,21.402459073064705,,,6.775693085664658,2006-04-01
IDN,21.924713682156515,,,0.8994051244676671,2006-07-01
IDN,15.024674091487087,,,5.183832794115428,2006-10-01
IDN,17.68432609174564,6.406560879660006,0.2075135665664751,20.77800470983313,2007-01-01
IDN,18.44606934418276,,,14.46435441013727,2007-04-01
IDN,18.31846038203,,,14.521513226614502,2007-07-01
IDN,18.7633388140916,,,15.041915869143915,2007-10-01
IDN,24.22054200014856,10.22666632724829,-5.113529330905098,31.59314106572042,2008-01-01
IDN,26.502252152847895,,,39.378435203275416,2008-04-01
IDN,26.90940304574234,,,38.07406816959882,2008-07-01
IDN,23.45917409581655,,,6.587266303882355,2008-10-01
IDN,14.222941272815692,4.38641311792074,-6.718675802086294,-31.281050750368223,2009-01-01
IDN,10.938803833796172,,,-31.081570519612967,2009-04-01
IDN,8.47470176315943,,,-23.140619405491925,2009-07-01
IDN,10.733654419524342,,,4.565202655310574,2009-10-01
IDN,13.676918684503647,5.134206390158824,13.60107188836892,48.95956459274036,2010-01-01
IDN,14.992850279006674,,,38.512599589137174,2010-04-01
IDN,14.49950970179219,,,29.75104576663807,2010-07-01
IDN,13.597092265931266,,,37.8487529868474,2010-10-01
IDN,13.997063003602372,5.356048491125853,3.680028076268971,29.015688157141778,2011-01-01
IDN,13.121129813026734,,,38.721633147232446,2011-04-01
IDN,15.300565290168144,,,32.1994777000008,2011-07-01
IDN,13.946750117329266,,,20.21495889961187,2011-10-01
IDN,12.197286886974831,4.279514269194307,-6.566204242145346,25.06840534314465,2012-01-01
IDN,12.123760536795093,,,13.461532146111631,2012-04-01
IDN,8.35879318507946,,,2.6038545733284124,2012-07-01
IDN,7.641029570091451,,,5.878486447403564,2012-10-01
IDN,8.68716072432234,6.41249457900388,-9.740676741353791,-0.6135430506428841,2013-01-01
