quarter,ENSO,ENSO_STD
1977-04-01,-0.19333333333333333,-0.01934276906558058
1977-07-01,0.16,0.3955000864214538
1977-10-01,0.6033333333333334,0.9160104617023556
1978-01-01,0.2233333333333333,0.4698587114615826
1978-04-01,-0.7166666666666667,-0.6337798286076974
1978-07-01,-0.6833333333333332,-0.5946437101655243
1978-10-01,-0.3,-0.14457834808053435
1979-01-01,-0.12333333333333334,0.06284307966298283
1979-04-01,-0.17333333333333334,0.004138901999723241
1979-07-01,-0.09666666666666664,0.09415197441672131
1979-10-01,0.30666666666666664,0.5676990075670152
1980-01-01,0.26333333333333336,0.5168220535921904
1980-04-01,0.07333333333333332,0.29374617847180384
1980-07-01,-0.24,-0.07413333488462286
1980-10-01,-0.10333333333333333,0.08632475072828666
1981-01-01,-0.5466666666666667,-0.43418562455261506
1981-04-01,-0.52,-0.40287672979887656
1981-07-01,-0.45333333333333337,-0.3246044929145305
1981-10-01,-0.3033333333333333,-0.14849195992475162
1982-01-01,0.03,0.24286922449697887
1982-04-01,0.39666666666666667,0.6733665273608825
1982-07-01,0.8633333333333333,1.2212721855513051
1982-10-01,2.0366666666666666,2.5988635547157966
1983-01-01,1.89,2.4266646335702355
1983-04-01,0.7966666666666667,1.1429999486669593
1983-07-01,-0.3,-0.14457834808053435
1983-10-01,-1.16,-1.1542902038885992
1984-01-01,-0.46,-0.33243171660296505
1984-04-01,-0.77,-0.6963976181151745
1984-07-01,-0.36000000000000004,-0.21502336127644592
1984-10-01,-1.0666666666666667,-1.0447090722505146
1985-01-01,-0.89,-0.8372876445069973
1985-04-01,-1.04,-1.0134001774967762
1985-07-01,-0.6666666666666666,-0.5750756509444379
1985-10-01,-0.42333333333333334,-0.2893819863165747
1986-01-01,-0.5966666666666667,-0.4928898022158746
1986-04-01,-0.39000000000000007,-0.2502458678744017
1986-07-01,0.24666666666666667,0.49725399437110374
1986-10-01,0.9800000000000001,1.3582486000989111
1987-01-01,1.0833333333333333,1.4795705672696473
1987-04-01,0.7066666666666667,1.0373324288730918
1987-07-01,1.5033333333333332,1.9726856596410276
1987-10-01,1.0833333333333333,1.4795705672696473
1988-01-01,0.4266666666666667,0.7085890339588383
1988-04-01,-1.1433333333333333,-1.1347221446675126
1988-07-01,-1.3099999999999998,-1.3304027368783777
1988-10-01,-1.97,-2.1052978820334043
1989-01-01,-1.55,-1.612182789662024
1989-04-01,-0.85,-0.7903243023763896
1989-07-01,-0.4666666666666666,-0.3402589402913996
1989-10-01,-0.32666666666666666,-0.1758872428342728
1990-01-01,0.08666666666666667,0.30940062584867306
1990-04-01,0.02666666666666667,0.23895561265276158
1990-07-01,0.17666666666666667,0.41506814564254035
1990-10-01,0.21999999999999997,0.46594509961736524
1991-01-01,0.27999999999999997,0.5363901128132768
1991-04-01,0.3233333333333333,0.5872670667881017
1991-07-01,0.62,0.935578520923442
1991-10-01,1.25,1.6752511594805126
1992-01-01,1.6666666666666667,2.164452640007676
1992-04-01,0.94,1.3112852579683032
1992-07-01,0.07,0.28983256662758655
1992-10-01,-0.24333333333333332,-0.07804694672884015
1993-01-01,0.3133333333333333,0.5755262312554498
1993-04-01,0.5733333333333334,0.8807879551043998
1993-07-01,0.23666666666666666,0.4855131588384518
1993-10-01,0.07333333333333333,0.29374617847180384
1994-01-01,0.09000000000000001,0.3133142376928904
1994-04-01,0.2966666666666667,0.5559581720343634
1994-07-01,0.4166666666666667,0.6968481984261864
1994-10-01,1.0366666666666668,1.4247800014506053
1995-01-01,0.7366666666666667,1.0725549354710477
1995-04-01,0.010000000000000009,0.21938755343167507
1995-07-01,-0.5599999999999999,-0.4498400719294841
1995-10-01,-0.9766666666666666,-0.9390415524566473
1996-01-01,-0.7766666666666667,-0.704224841803609
1996-04-01,-0.43,-0.29720921000500927
1996-07-01,-0.36999999999999994,-0.2267641968090977
1996-10-01,-0.49666666666666665,-0.37548144688935536
1997-01-01,-0.3833333333333333,-0.24241864418596695
1997-04-01,0.63,0.9473193564560939
1997-07-01,1.86,2.39144212697228
1997-10-01,2.3533333333333335,2.970656679916441
1998-01-01,1.9166666666666667,2.457973528323974
1998-04-01,0.32,0.5833534549438845
1998-07-01,-1.1766666666666667,-1.1738582631096859
1998-10-01,-1.5366666666666664,-1.5965283422851544
1999-01-01,-1.32,-1.34214357241103
1999-04-01,-1.1500000000000001,-1.1425493683559476
1999-07-01,-1.16,-1.1542902038885992
1999-10-01,-1.5166666666666666,-1.5730466712198508
2000-01-01,-1.4333333333333333,-1.4752063751144182
2000-04-01,-0.84,-0.7785834668437377
2000-07-01,-0.56,-0.4498400719294843
2000-10-01,-0.8033333333333333,-0.7355337365573474
2001-01-01,-0.6133333333333333,-0.512457861436961
2001-04-01,-0.34,-0.19154169021114206
2001-07-01,-0.09666666666666668,0.09415197441672125
2001-10-01,-0.30666666666666664,-0.15240557176896893
2002-01-01,-0.06,0.13720170470311163
2002-04-01,0.35000000000000003,0.6185759615418402
2002-07-01,0.9,1.2643219158376957
2002-10-01,1.3633333333333333,1.808313962183901
2003-01-01,0.5333333333333333,0.8338246129737921
2003-04-01,-0.3466666666666667,-0.19936891389957664
2003-07-01,0.24666666666666667,0.49725399437110374
2003-10-01,0.3933333333333333,0.6694529155166651
2004-01-01,0.20666666666666667,0.4502906522404961
2004-04-01,0.08666666666666667,0.30940062584867306
2004-07-01,0.6866666666666666,1.013850757807788
2004-10-01,0.71,1.0412460407173092
2005-01-01,0.49,0.782947658998967
2005-04-01,0.19999999999999998,0.4424634285520615
2005-07-01,-0.10666666666666667,0.08241113888406935
2005-10-01,-0.5233333333333333,-0.4067903416430938
2006-01-01,-0.7633333333333333,-0.6885703944267397
2006-04-01,-0.1366666666666667,0.047188632286113585
2006-07-01,0.30666666666666664,0.5676990075670152
2006-10-01,0.9433333333333334,1.3151988698125205
2007-01-01,0.21666666666666665,0.46203148777314795
2007-04-01,-0.37999999999999995,-0.23850503234174963
2007-07-01,-0.8066666666666666,-0.7394473484015648
2007-10-01,-1.5033333333333332,-1.5573922238429816
2008-01-01,-1.5199999999999998,-1.5769602830640679
2008-04-01,-0.8366666666666666,-0.7746698549995203
2008-07-01,-0.22666666666666666,-0.058478887507753624
2008-10-01,-0.5566666666666666,-0.4459264600852669
2009-01-01,-0.79,-0.7198792891804784
2009-04-01,0.006666666666666672,0.21547394158745775
2009-07-01,0.5733333333333334,0.8807879551043998
2009-10-01,1.3633333333333333,1.808313962183901
2010-01-01,1.2233333333333334,1.6439422647267743
2010-04-01,-0.17666666666666664,0.00022529015550597591
2010-07-01,-1.3533333333333335,-1.3812796908532032
2010-10-01,-1.6433333333333333,-1.7217639213001086
2011-01-01,-1.1933333333333334,-1.1934263223307724
2011-04-01,-0.5566666666666666,-0.4459264600852669
2011-07-01,-0.6266666666666666,-0.5281123088138302
2011-10-01,-1.0999999999999999,-1.0838451906926876
2012-01-01,-0.7166666666666667,-0.6337798286076974
2012-04-01,-0.26666666666666666,-0.1054422296383613
2012-07-01,0.3666666666666667,0.6381440207629268
2012-10-01,0.05666666666666668,0.27417811925071733
2013-01-01,-0.43333333333333335,-0.3011228218492266
2013-04-01,-0.3566666666666667,-0.21110974943222857
2013-07-01,-0.31666666666666665,-0.16414640730162086
2013-10-01,-0.17,0.00805251384394054
2014-01-01,-0.4633333333333334,-0.3363453284471824
2014-04-01,0.21,0.4542042640847134
2014-07-01,0.06666666666666667,0.2859189547833692
2014-10-01,0.6333333333333333,0.9512329683003111
2015-01-01,0.4666666666666666,0.7555523760894458
2015-04-01,0.9333333333333332,1.3034580342798687
2015-07-01,1.8666666666666665,2.399269350660714
2015-10-01,2.58,3.2367822853232178
2016-01-01,2.15,2.731926357419185
2016-04-01,0.3933333333333333,0.6694529155166651
2016-07-01,-0.5466666666666666,-0.43418562455261495
2016-10-01,-0.6666666666666666,-0.5750756509444379
2017-01-01,-0.16,0.019793349376592467
2017-04-01,0.31,0.5716126194112325
2017-07-01,-0.11333333333333333,0.07458391519563476
2017-10-01,-0.8366666666666666,-0.7746698549995203
2018-01-01,-0.8533333333333334,-0.7942379142206071
2018-04-01,-0.22333333333333336,-0.05456527566353636
2018-07-01,0.22666666666666666,0.4737723233057999
