country,quarter,PRITHVI_HEAT_EXTENT
CHL,2000-01-01,0.05839598997493734
CHL,2000-04-01,0.0
CHL,2000-07-01,0.0
CHL,2000-10-01,0.02080200501253133
CHL,2001-01-01,0.07656641604010024
CHL,2001-04-01,0.0
CHL,2001-07-01,0.0
CHL,2001-10-01,0.04598997493734336
CHL,2002-01-01,0.14216791979949875
CHL,2002-04-01,6.265664160401002e-05
CHL,2002-07-01,6.265664160401002e-05
CHL,2002-10-01,0.035651629072681705
CHL,2003-01-01,0.13101503759398495
CHL,2003-04-01,0.00012531328320802005
CHL,2003-07-01,0.0
CHL,2003-10-01,0.017731829573934838
CHL,2004-01-01,0.19918546365914788
CHL,2004-04-01,0.0
CHL,2004-07-01,0.00012531328320802005
CHL,2004-10-01,0.03427318295739348
CHL,2005-01-01,0.12531328320802004
CHL,2005-04-01,0.0008145363408521303
CHL,2005-07-01,0.0
CHL,2005-10-01,0.02199248120300752
CHL,2006-01-01,0.16478696741854637
CHL,2006-04-01,0.0
CHL,2006-07-01,0.0
CHL,2006-10-01,0.0293859649122807
CHL,2007-01-01,0.11578947368421051
CHL,2007-04-01,0.0
CHL,2007-07-01,0.0
CHL,2007-10-01,0.002443609022556391
CHL,2008-01-01,0.18602756892230576
CHL,2008-04-01,0.0
CHL,2008-07-01,0.0
CHL,2008-10-01,0.05614035087719299
CHL,2009-01-01,0.14385964912280702
CHL,2009-04-01,0.0
CHL,2009-07-01,0.0008771929824561404
CHL,2009-10-01,0.037844611528822056
CHL,2010-01-01,0.11760651629072681
CHL,2010-04-01,0.0018170426065162908
CHL,2010-07-01,0.00031328320802005016
CHL,2010-10-01,0.0033208020050125315
CHL,2011-01-01,0.131265664160401
CHL,2011-04-01,0.0
CHL,2011-07-01,0.0003132832080200501
CHL,2011-10-01,0.06823308270676692
CHL,2012-01-01,0.1613408521303258
CHL,2012-04-01,0.0
CHL,2012-07-01,0.002130325814536341
CHL,2012-10-01,0.017042606516290727
CHL,2013-01-01,0.18583959899749372
CHL,2013-04-01,0.0033834586466165418
CHL,2013-07-01,6.265664160401002e-05
CHL,2013-10-01,0.04617794486215538
CHL,2014-01-01,0.0981203007518797
CHL,2014-04-01,0.00012531328320802005
CHL,2014-07-01,0.00018796992481203009
CHL,2014-10-01,0.019235588972431078
CHL,2015-01-01,0.19893483709273183
CHL,2015-04-01,0.0018170426065162908
CHL,2015-07-01,0.0009398496240601503
CHL,2015-10-01,0.031578947368421054
CHL,2016-01-01,0.23477443609022555
CHL,2016-04-01,0.0016917293233082709
CHL,2016-07-01,0.0004385964912280702
CHL,2016-10-01,0.038032581453634084
CHL,2017-01-01,0.19028822055137842
CHL,2017-04-01,0.0
CHL,2017-07-01,0.00037593984962406017
CHL,2017-10-01,0.0275062656641604
CHL,2018-01-01,0.15914786967418545
CHL,2018-04-01,6.265664160401002e-05
CHL,2018-07-01,0.00012531328320802005
CHL,2018-10-01,0.05194235588972432
CHL,2019-01-01,0.1525062656641604
CHL,2019-04-01,0.00012531328320802005
CHL,2019-07-01,0.0008145363408521303
CHL,2019-10-01,0.0674812030075188
CHL,2020-01-01,0.24085213032581454
CHL,2020-04-01,0.0025062656641604013
CHL,2020-07-01,0.0003132832080200501
CHL,2020-10-01,0.036466165413533834
CHL,2021-01-01,0.1602130325814536
CHL,2021-04-01,0.0003132832080200501
CHL,2021-07-01,0.0006892230576441102
CHL,2021-10-01,0.06322055137844612
CHL,2022-01-01,0.12261904761904763
CHL,2022-04-01,0.0
CHL,2022-07-01,0.0
CHL,2022-10-01,0.05526315789473685
CHL,2023-01-01,0.18114035087719296
CHL,2023-04-01,0.0007518796992481202
CHL,2023-07-01,0.0007518796992481202
CHL,2023-10-01,0.04104010025062657
CHL,2024-01-01,0.1981203007518797
CHL,2024-04-01,0.0038847117794486214
CHL,2024-07-01,0.0016290726817042606
CHL,2024-10-01,0.05551378446115288
COL,1981-01-01,0.16340488215488216
COL,1981-04-01,0.003577441077441078
COL,1981-07-01,0.00010521885521885523
COL,1981-10-01,0.0022095959595959595
COL,1982-01-01,0.0361952861952862
COL,1982-04-01,0.00010521885521885523
COL,1982-07-01,0.014099326599326598
COL,1982-10-01,0.0
COL,1983-01-01,0.2663089225589226
COL,1983-04-01,0.06691919191919192
