country,spec,exo,max_em_iter,update_P0,coeff_method,overall,rho,max_norm_Ak,bench_dist,reason,GDP_YoY_2026,GDP_YoY_min,GDP_YoY_max,GDP_YoY_last,GDP_YoY_ci_max_width,GDP_YoY_monotone_steps,CPI_YoY_2026,CPI_YoY_min,CPI_YoY_max,CPI_YoY_last,CPI_YoY_ci_max_width,CPI_YoY_monotone_steps,counterfactual_max_abs_gdp_cpi
KEN,HeatDry,HeatDry,10,True,avg4,KEEP,0.81494711686532,0.8421977704386269,0.6500453433430016,ok,4.752590075092028,4.445657949582094,5.48359849119219,5.48359849119219,0.8140893412890913,4.0,5.237574552915045,5.0087259652413945,6.562916029031471,6.562916029031471,1.7261048977932987,6.0,0.6867780468274187
KEN,HeatDry,HeatDry,10,False,last,KEEP,0.7468964986535795,0.8249730253249313,0.7328337227376163,ok,4.829680551920032,4.575938218976563,5.510427332195858,5.510427332195858,0.7395194733746591,4.0,5.22807804863736,4.964602549922395,6.695520741088587,6.695520741088587,1.4042534189698959,6.0,0.5942285977928954
KEN,HeatDry,HeatDry,10,False,avg4,KEEP,0.8206000442635057,0.8443980916023663,0.6144194187471355,ok,4.729310352708917,4.42535274464971,5.47463996366226,5.47463996366226,0.8010557046361892,4.0,5.25815155660297,5.017183412500455,6.5684482402476,6.5684482402476,1.701316696792766,6.0,0.6839628149095498
KEN,HeatDry,HeatDry,30,True,last,REJECT,1.7106987968380485,78.2615089483863,7.064725166224487,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,10.606446372082909,-94.04667210779779,128.55124804714055,-94.04667210779779,3.080630654711836e+17,4.0,4.302868676430703,-49.96446332788084,21.87111708462366,-49.96446332788084,2.050884391466191e+16,4.0,12.502796591333649
KEN,HeatDry,HeatDry,30,True,avg4,REJECT,3.04378492652733,10983.664993562561,9.042640145963752,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,-2.688090307826568,-3535.6843813985065,1155.4821231036542,-3535.6843813985065,3.09970941999557e+17,3.0,2.809083603104695,-129.27976193611525,417.7500675444318,417.7500675444318,2.0636733629018456e+16,4.0,1114.687909061659
KEN,HeatDry,HeatDry,30,False,last,REJECT,1.8942192778224975,747.0046092480383,37.79580565339624,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,36.88732418319456,-506.8579427791367,454.78951976055845,454.78951976055845,3417730582190437.0,3.0,-3.1141357836694774,-452.94920486379465,308.89178331873524,-452.94920486379465,294232065551044.44,3.0,29.89843228116439
KEN,HeatDry,HeatDry,30,False,avg4,REJECT,2.3155878185308767,924.0853365908237,30.813126625247143,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,34.86988916092999,-1477.7831931858257,3438.692024189347,3438.692024189347,3376131355179005.0,3.0,5.1612708928047475,-102.86759709138698,54.91364773715868,-102.86759709138698,291505261200964.56,3.0,16.926308993743987
KEN,HeatDry,HeatDry,50,True,last,REJECT,5.286846032899683,131374.48340226387,2072.4064651710983,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,-1633.618491532934,-4556602.276184314,862538.44606704,-4556602.276184314,1.0396629860163269e+35,3.0,729.7132893969402,-371991.55426177516,1969275.8630975864,1969275.8630975864,8.927877742617733e+33,3.0,27877.592063386925
KEN,HeatDry,HeatDry,50,True,avg4,REJECT,4.588884836501288,145647.18281676044,4478.075539227564,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,-4397.7673478846245,-5689508.970645114,422213.10320357885,-5689508.970645114,1.0396631924360256e+35,3.0,132.2469855715664,-587356.4847412799,809864.5784082267,809864.5784082267,8.927881261660993e+33,3.0,59582.056468887255
KEN,HeatDry,HeatDry,50,False,last,REJECT,3.7330747630674748,16698.58903494888,326.1531724245407,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,-253.55849114925454,-47199.05528964017,27976.117405591267,-47199.05528964017,3.9975484903758036e+30,3.0,-107.59113545881023,-1843.4418793938994,61660.32408829445,61660.32408829445,5.7053885100318824e+29,4.0,16111.101344582916
