country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD_OLD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,country_add,dates,PRITHVI_MOISTURE_STD
CHL,3.9931210296061614,2.765400183679712,7.243488509154594,-1.980437546,,10/1/18,2018,2.433581168852057,-1.055601532,2.125110751484538,6.5,6.137557460747134,0.8966666666666666,0.6611873686309337,-0.036176702,0.016478697,0.051942356,5.846394373681326,3.5282511061888355,6.148003320632789,6.258489635461192,CHL,1-Oct-18,-3.36E-06
CHL,3.1005115134555172,2.297219688523999,10.84059370256778,-5.853997897,,1/1/19,2019,2.5563321706168254,9.637629037679163,1.9335587266003704,6.4,-5.802416195,0.7233333333333333,1.425240183577794,-0.519953524,0.048684211,0.1525062656641604,4.872559678864519,3.1227784587481158,7.096419055779964,-0.788916975,CHL,1-Jan-19,-4.21E-06
CHL,3.2450413182703475,2.630431135715527,10.173414168567252,-10.0668996,,4/1/19,2019,2.5563321706168254,9.637629037679163,2.242125694698238,6.1,-9.557571775,0.54,-0.378838188,0.2031025917586886,0.040789474,0.000125313,4.751601298454009,3.4281722099113336,5.756117920047369,-1.843906947,CHL,1-Apr-19,-2.82E-06
CHL,5.080840224780281,2.464366591181553,6.455424818798372,-4.974911492,,7/1/19,2019,2.5563321706168254,9.637629037679163,2.797216868642849,6,-15.4911757,0.1399999999999999,-0.921114607,-1.349228881,0.043671679,0.000814536,4.843757400470631,3.4335391598682237,3.6083636961362013,-2.522121574,CHL,1-Jul-19,-5.28E-06
CHL,1.1039227207532365,2.833311267046223,11.081083460783248,-10.78143513,,10/1/19,2019,2.5563321706168254,9.637629037679163,3.3517765241980912,5.9,-7.988186249,0.5066666666666667,0.7121754066902579,0.4944880755583866,0.016541353,0.067481203,4.659225903750312,3.845865246341936,2.3518066066351775,-2.865076494,CHL,1-Oct-19,-8.90E-06
CHL,5.004504998869597,3.698688946864358,20.460953095750355,-5.720642011,,1/1/20,2020,3.0483047888004022,13.144072976761956,1.3585350290757248,-6.8,-15.21847729,0.4833333333333333,1.6591614803038497,0.155981322,0.046741855,0.2408521303258145,2.734053720036358,4.227645074786459,4.712819339072556,-3.980683133,CHL,1-Jan-20,-9.78E-06
CHL,-4.542963572,2.932426689332778,20.38489310352425,4.8657487657989495,,4/1/20,2020,3.0483047888004022,13.144072976761956,-7.398614959,3.2,-36.67075783,-0.083333333,-0.264185196,0.5561642972844872,0.050062657,0.002506266,-10.4956847,3.0140221488770758,9.700611926764708,-27.25970863,CHL,1-Apr-20,-9.10E-06
CHL,-0.463775122,2.678107124,10.523908395469196,7.672326373020777,,7/1/20,2020,3.0483047888004022,13.144072976761956,-1.3646721,4.9,-17.55767129,-0.573333333,-1.21837855,-1.039641432,0.055075188,0.000313283,-2.700112634,3.389828523866184,7.4131258470201296,-7.167760468,CHL,1-Jul-20,-6.00E-06
CHL,10.681844539953332,2.883996395004473,1.2065373123040235,21.776528645897365,,10/1/20,2020,3.0483047888004022,13.144072976761956,-0.922215242,6.5,-11.81475591,-1.276666667,0.7004486171327279,-0.134942807,0.012844612,0.036466165,-0.072619548,3.518184120910446,5.177313410326536,-0.670716459,CHL,1-Oct-20,-6.43E-06
CHL,11.19311998522756,2.948950670360834,-9.921197708,28.730123626728155,,1/1/21,2021,4.5151995251615915,-4.030290113,1.8007541764505586,18.9,26.191136655349755,-0.933333333,1.4592349039534067,-1.722288331,0.062280702,0.1602130325814536,4.581121638329427,3.856686082293386,2.376070822,9.634938419,CHL,1-Jan-21,-4.04E-06
CHL,23.919131911091185,3.592072667217148,-13.15323919,32.46475479004736,,4/1/21,2021,4.5151995251615915,-4.030290113,12.385669309432568,8.1,83.22631419983483,-0.486666667,-0.361709015,-0.941381709,0.076879699,0.000313283,19.946402322359564,5.147226953908295,-2.833649863,60.747421210001434,CHL,1-Apr-21,-7.70E-06
CHL,23.996433656359173,4.887313243859217,-0.983427223,27.819563055180453,,7/1/21,2021,4.5151995251615915,-4.030290113,5.1508109950936465,5.5,66.31684273912293,-0.49,-0.889073883,-0.370895117,0.041729323,0.000689223,11.423560000958567,5.421041229196318,0.2915078706275406,29.209101247577323,CHL,1-Jul-21,-9.38E-06
CHL,18.325245704979775,6.632461519209166,7.936703668936551,26.307613787786764,,10/1/21,2021,4.5151995251615915,-4.030290113,5.756179192135091,4.5,70.00433032325151,-0.98,0.7609981232860111,-1.054404695,0.031829574,0.063220551,11.526482272615745,6.398996192307607,3.4146078422644943,27.281507023604973,CHL,1-Oct-21,-9.41E-06
CHL,13.245137415790452,8.308844,11.865283957705984,9.830577011930174,,1/1/22,2022,11.613465872413332,15.129006294689889,4.034582077886428,4.8,59.19179918889166,-0.933333333,1.309274327144354,-0.315858777,0.040162907,0.1226190476190476,10.638280439728426,7.403498178316763,4.894145333051633,27.994585448050962,CHL,1-Jan-22,-1.14E-05
CHL,10.901160063819804,11.51853328019133,17.608792335502056,4.222769833215945,,4/1/22,2022,11.613465872413332,15.129006294689889,2.4537929303342976,0.8,60.18504718698187,-0.99,-0.760996295,-1.083620141,0.052255639,0,12.586306112633636,10.239762627837429,8.987495486027807,21.341719610357856,CHL,1-Apr-22,-9.17E-06
CHL,8.630865880086503,13.64678899082573,19.81531889257637,4.165690826040902,,7/1/22,2022,11.613465872413332,15.129006294689889,2.3489732641040373,4,42.90726419338373,-0.91,-1.267488515,-0.357937694,0.042418546,0,12.42558553342159,12.248431971614446,11.432284854487275,13.700796104931477,CHL,1-Jul-22,-6.82E-06
CHL,7.261898371047004,12.97969721863627,11.226629992975145,-1.019527177,,10/1/22,2022,11.613465872413332,15.129006294689889,1.3170742821654535,3,11.125646644905874,-0.913333333,0.7455643093319853,-0.577770829,0.022243108,0.055263158,10.553218442485967,11.564664990704959,11.629010296809144,4.041932027157323,CHL,1-Oct-22,-5.54E-06
CHL,9.022700386025685,11.78705052409106,0.2153840260830986,6.3071279268317015,,1/1/23,2023,7.6821609512685844,-3.699064241,2.311146228623828,4.7,-18.11368656,-0.43,1.4546398492424213,0.7165171628460717,0.051378446,0.1811403508771929,10.460061581004295,11.543563345605026,10.16754135002167,0.008816127,CHL,1-Jan-23,-5.71E-06
CHL,8.582812451444966,8.723263869797114,-4.744268916,-8.518534082,,4/1/23,2023,7.6821609512685844,-3.699064241,2.792610476283919,6.5,-32.32866184,0.48,-0.272096858,0.1407747499040033,0.059586466,0.00075188,7.724888593144661,8.962256130941588,6.190923136992542,-6.954742837,CHL,1-Apr-23,-2.99E-06
CHL,6.386226976776577,5.632269371713821,-7.941113592,-10.39938903,,7/1/23,2023,7.6821609512685844,-3.699064241,3.2331922827038895,5,-27.43656398,1.3233333333333337,-0.949556294,0.1454483994315558,0.081077694,0.00075188,7.2127106549232565,7.380448323477453,4.878615658808752,-4.319374975,CHL,1-Jul-23,-9.35E-07
CHL,5.242064826,4.586060039472345,-2.326258483,-9.559806896,,10/1/23,2023,7.6821609512685844,-3.699064241,3.390893713155063,5.3,-17.27709331,1.9233333333333331,0.5316121052612013,-0.723940998,0.020864662,0.0410401,7.304050297233486,7.032807563859484,4.918683547187462,5.304739237311595,CHL,1-Oct-23,-7.24E-07
CHL,9.531763252135406,4.041292359999189,16.603965652290896,-1.159378106,,1/1/24,2024,4.295737648677189,12.500282021975702,2.8632943527041155,5.3,-6.783684917,1.4866666666666666,1.7128797229344588,-0.050275358,0.056892231,0.1981203007518797,6.570069619490336,6.298537518010129,9.641497232872894,2.1265721496637076,CHL,1-Jan-24,-4.74E-07
CHL,9.627009867131608,4.125313298879566,16.69652431944204,6.332051013234707,,4/1/24,2024,4.295737648677189,12.500282021975702,3.1266315239534936,4.7,4.711959835871715,0.3899999999999999,-0.82954297,-0.57115615,0.083458647,0.003884712,7.6621222507468385,5.701724464346501,9.362045692343017,6.491424747048965,CHL,1-Apr-24,-4.45E-08
CHL,10.707292719323114,4.519237302144939,9.294774409,11.70769435,,7/1/24,2024,4.295737648677189,12.500282021975702,2.791389637,4.6,-3.97519048,-0.113333333,-1.089390752,-0.745345711,0.08245614,0.001629073,,4.928043784348279,6.266833072561637,7.895186749396643,CHL,1-Jul-24,-9.01E-07
CHL,11.412872698079202,4.497107633685063,7.4058637071698685,11.036881827267807,,10/1/24,2024,4.295737648677189,12.500282021975702,2.3997884845648576,5.4,-4.370047398,-0.373333333,0.7934484271181371,-1.113083136,0.047117794,0.055513784,,4.118375819,,5.779392567216754,CHL,1-Oct-24,-2.65E-06
CHL,7.674909472626434,4.844476115224286,1.7917288957258082,5.168247161,,1/1/25,2025,4.478020073574107,2.0429794894040474,2.0192730138857806,5.4,,-0.386666667,,,,,,4.285866443208035,,5.6043861894597065,CHL,NaT,NaN
CHL,10.874596885330078,4.361983364498035,1.3042820847653849,7.073836523,,4/1/25,2025,4.478020073574107,2.0429794894040474,2.080466508761192,5.2,,-0.11,,,,,,4.1540054673327695,,4.749002767899432,CHL,NaT,NaN
CHL,8.903647077483324,4.227600741,3.032927487720949,1.9053159298882736,,7/1/25,2025,4.478020073574107,2.0429794894040474,2.327173248,4.8,,-0.323333333,,,,,,4.2366514263062385,,5.849503946156805,CHL,NaT,NaN
COL,,19.70002720024138,2.516357131514968,5.026044983,14.06037248177893,1/1/97,1997,18.505966137200137,10.260856071033253,4.314068944306992,10.2,2.5045976004904213,-0.383333333,0.4050104647134788,-1.388433333,0.211489899,0.072495791,,,5.766892527100259,,COL,1-Jan-97,-2.31E-06
COL,,18.61256748876292,0.911533867,13.513476790107326,14.81684746,4/1/97,1997,18.505966137200137,10.260856071033253,4.311271716,10.1,-4.801525394,0.63,-0.25986166,0.7465327893557638,0.011153199,0.001788721,,,5.577318558154683,,COL,1-Apr-97,-5.28E-06
COL,,17.94567648977548,9.772428550565394,17.932833314026396,16.69153682945739,7/1/97,1997,18.505966137200137,10.260856071033253,4.674702492340366,8.7,-5.42730203,1.86,0.025158543,-0.245479307,0.083017677,0.051241582,,,9.898174308,,COL,1-Jul-97,-9.56E-06
COL,,17.76559337002077,27.84310473505265,7.00731332,17.27543964610833,10/1/97,1997,18.505966137200137,10.260856071033253,4.483552816031211,8.6,-11.52826123,2.3533333333333335,0.8808544115330809,-0.768916656,0.1223695286195286,0.067550505,,,15.165315684979168,,COL,1-Oct-97,-1.12E-05
COL,,18.38363124516925,27.277727551478435,5.6748067184066775,20.15719870829402,1/1/98,1998,18.70223979128145,25.216900416140952,4.855526883310857,7.3,-20.35027766,1.9166666666666667,2.4151993545919512,-1.19188373,0.1565656565656565,0.3995159932659932,,,29.12133555502582,,COL,1-Jan-98,-1.14E-05
