quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
2009-07-01,-12.045654685278071,6.524133114877416,9.976786040324471,19.23090123891955,-49.4049114610159,DZA,2009,5.7341821268588955,12.65520717775101,-3.1328157006863644,10.6,-38.788723127544635,0.5733333333333334,,,,,,,,
2009-10-01,7.719544297943171,5.905212025731942,9.54814348646945,8.020484258277705,-20.238788161561303,DZA,2009,5.7341821268588955,12.65520717775101,0.1055725234829774,11.9,14.667410843327344,1.3633333333333333,,,,,,,,
2010-01-01,20.48152436581023,4.316881906881647,5.975546753917635,1.5490530383495127,30.58824051406797,DZA,2010,3.9238105683998503,2.3910967754676657,1.7452658449103264,12.2,41.7852419188671,1.2233333333333334,,,,,,,,
2010-04-01,21.953025829833095,4.928922202119358,6.964029488892163,2.3642653250373735,26.49347995314033,DZA,2010,3.9238105683998503,2.3910967754676657,2.91359502911801,10.7,24.807968027190498,-0.1766666666666666,,,,,,,,
2010-07-01,24.880671321386536,3.459404942007035,2.566170192581301,3.15533980582523,27.66549669626983,DZA,2010,3.9238105683998503,2.3910967754676657,3.344209253779229,9.9,14.452423567610296,-1.3533333333333335,,,,,,,,
2010-10-01,17.293324250504494,2.990033222591361,1.698147892825934,2.495728932658547,20.649294307873724,DZA,2010,3.9238105683998503,2.3910967754676657,2.7759609093124693,9.9,17.70523308924561,-1.643333333333333,,,,,,,,
2011-01-01,17.46398760404082,3.495670727168928,2.534936626584336,-0.5994553878224562,29.27815998964141,DZA,2011,4.5163329878729215,-1.9344052689270528,2.037797199613345,10.1,31.543561255953612,-1.1933333333333334,,,,,,,,
2011-04-01,19.253035454221234,4.032317658940341,3.367486180817403,-3.691268429232952,46.24063612179277,DZA,2011,4.5163329878729215,-1.9344052689270528,1.7437088645501977,9.9,39.94884474991252,-0.5566666666666666,,,,,,,,
2011-07-01,18.040138139260065,5.356794696822018,6.560144290801486,-3.6337703756201263,32.29150084228258,DZA,2011,4.5163329878729215,-1.9344052689270528,0.9426534645672336,9.3,36.27289891301688,-0.6266666666666666,,,,,,,,
2011-10-01,26.778869248042714,5.180548868560398,4.410601712723435,0.1868731169673232,9.759237012118028,DZA,2011,4.5163329878729215,-1.9344052689270528,1.543075871606514,8.7,14.473659021575337,-1.1,,,,,,,,
2012-01-01,18.89645611445898,9.006136734106867,11.61195381480645,3.139516903085071,0.7234477697734443,DZA,2012,8.895888392318623,6.307134366225087,2.6380693108862374,8.1,3.151662237546482,-0.7166666666666667,,,,,,,,
2012-04-01,12.955089360069705,9.539707344793296,12.63061329514684,5.119825708060977,-10.605135907472771,DZA,2012,8.895888392318623,6.307134366225087,2.403335839137921,7.7,-9.172579949157544,-0.2666666666666666,,,,,,,,
2012-07-01,2.5113522649633513,8.033772842933171,10.78271813901003,10.91666344911022,-13.485086987451067,DZA,2012,8.895888392318623,6.307134366225087,2.5737123144880414,7.5,-5.715185212873674,0.3666666666666667,,,,,,,,
2012-10-01,8.655016845557405,9.003936647441156,13.84578761713088,6.052531404644079,16.842824918292365,DZA,2012,8.895888392318623,6.307134366225087,1.551852007332477,8.1,-0.2047537617663075,0.0566666666666666,,,,,,,,
2013-01-01,3.2385529481588904,5.84962505222875,6.945374145520173,4.031026801358029,-5.773480798802844,DZA,2013,3.2851963097143364,2.413423946674187,1.700868485709428,7.9,-3.673174453753336,-0.4333333333333333,,,,,,,,
2013-04-01,-0.5893205847863126,3.663835030153687,3.67515594580637,4.155127462021468,-9.854577008981336,DZA,2013,3.2851963097143364,2.413423946674187,1.5199382041070075,7.6,-4.305645293317006,-0.3566666666666667,,,,,,,,
2013-07-01,8.70153031104477,2.984818962379247,2.930345530047815,-0.0130125073402487,-1.527250590143403,DZA,2013,3.2851963097143364,2.413423946674187,2.237022493295515,7.9,-2.8006363774102594,-0.3166666666666666,,,,,,,,
2013-10-01,3.162687168068823,0.6425061940956622,-0.5854734160853307,1.4805540306574994,-14.949930266520218,DZA,2013,3.2851963097143364,2.413423946674187,3.0091449601746367,7.7,-3.1975147160261064,-0.17,,,,,,,,
2014-01-01,4.051138968366752,0.698065776078782,0.8914515486599968,-0.3622541108550314,-6.371172247362633,DZA,2014,2.919059873606554,1.5097702405266171,1.6508175559380112,7.6,-4.5754835180404125,-0.4633333333333334,,,,,,,,
2014-04-01,8.616099649121534,1.72859585470618,2.161416417567257,0.1669923143755136,1.122636195861304,DZA,2014,2.919059873606554,1.5097702405266171,2.6891521587272926,7.7,2.925344597039392,0.21,,,,,,,,
2014-07-01,8.287244602761291,3.328689939081461,3.969703889776947,0.0282250660967875,-5.371057032285121,DZA,2014,2.919059873606554,1.5097702405266171,3.059782928201682,7.3,-5.956815632351653,0.0666666666666666,,,,,,,,
