country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
AUS,3.0562234632123486,1.828152698385614,-3.953300193597076,20.077049156789183,16.96546711142719,-27.403978015677012,,2017-07-01,2017,1.9491555174843007,-2.9943594570689545,2.410821412,6.9,7.83210872,0.646536265,-0.46,,,,,,,-1.1148960736502622,11.437807509171781
AUS,2.2752451576657284,1.909082052528368,-2.4458877418550906,4.770669020686102,13.844134200864588,-131.31266833594216,,2017-10-01,2017,1.9491555174843007,-2.9943594570689545,2.994143497,6.8,10.58433076,0.584844587,-1.15,,,,,,,-2.7461056609517023,15.204238641496254
AUS,3.00864173190567,1.900443676704281,-3.613895825711011,9.445724123759836,16.211362254866568,-69.38171582338616,,2018-01-01,2018,1.9118390684560511,2.65681002320447,3.32881006,6.9,11.09312814,0.494602574,-1.04,,,,,,3.1992739351467847,-5.132619726467129,15.388064549977507
AUS,3.1558554855449117,2.077689018565182,-0.8158764590280754,12.180528708492025,8.347949338920868,217.01048179742645,,2018-04-01,2018,1.9118390684560511,2.65681002320447,3.298961787,6.9,20.54136181,2.176003635,-0.31,,,,,,3.3052572108302494,-1.1867390995079832,13.804898689013996
AUS,2.5731775830995396,1.885103037731799,7.977325959463011,8.79851263696796,-3.6092857037017145,-296.2566725207365,,2018-07-01,2018,1.9118390684560511,2.65681002320447,3.130030641,6.7,16.71627247,-3.999421396,0.16,,,,,,3.6903246185770566,4.966333158033746,9.231481955527663
AUS,2.4257016566643808,1.784120540822942,7.079686418093956,13.873619130218206,4.683573290936605,-487.2444155707292,,2018-10-01,2018,1.9118390684560511,2.65681002320447,2.125110751,6.5,3.391343095,-3.647804345,0.77,,,,,,3.76688003713024,6.419862654495345,5.840906603407827
AUS,2.1155399877708536,1.33214862132039,10.379806234494836,5.769071283606864,-6.001003166295016,526.2629298983346,,2019-01-01,2019,1.609895336189559,7.546249368129921,1.933558707,6.4,-6.7591683,-6.630398198,0.62,,,,,,3.295575365971867,8.129991509869864,0.2823004295869054
AUS,1.6730696481862983,1.592922091148892,8.114452716168842,10.557274056685316,-6.999533659871526,331.2543015996688,,2019-04-01,2019,1.609895336189559,7.546249368129921,2.242126687,6.1,-8.993057625,-6.070830539,0.34,,,,,,3.6626858761728878,6.487556878110699,-3.4027503769352916
AUS,1.8821815014572472,1.674015575159695,6.655312761747978,9.691347322613009,-4.396707074113227,179.8074686097693,,2019-07-01,2019,1.609895336189559,7.546249368129921,2.797216869,6.0,-11.71353399,-0.917740318,-0.1,,,,,,3.3669727315888487,3.543025468883897,-2.3107803344751034
AUS,2.2234028689716023,1.840495057129259,5.0354257601080255,2.178326584709378,-5.766390669241527,119.28837912103432,,2019-10-01,2019,1.609895336189559,7.546249368129921,3.351776524,5.9,-5.892414833,1.914209969,0.23,,,,,,3.4189209090848913,2.5256786559319435,-1.5636486693123668
