country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,OIL_YoY,IOD,HeatDry,HeatDryYoY,HeatDryF
LUX,7.909789589914129,1.939221946316676,-7.244882076,3.5906746975045145,9.667576987845926,40.86794962796956,,2007-07-01,2007,2.311405399700634,-8.303606859,2.368037295,14.2,8.682178861,12.97887051,-0.81,,,,,,,,14.17353659372263,0.0710703539188994,0.3466666666666667,,,
LUX,7.9905415817531855,3.158557211973379,-11.0391619,10.679372308007462,8.170654482580098,-2.709338072,,2007-10-01,2007,2.311405399700634,-8.303606859,2.13336589,13.9,28.04174715,21.24659287,-1.41,,,,,,,,23.367639071085573,0.4817983559805401,-0.13,,,
LUX,3.5376309022352004,3.299710688873251,-12.4877728,15.07855551568642,16.030952296141045,20.19191747125493,,2008-01-01,2008,3.406104367063059,-6.248618967,1.392472409,11.6,40.16209166,29.87963569,-1.49,,,,,,,,24.04422626628495,0.6746196403872751,0.0333333333333333,,,
LUX,-0.111534623,3.920507268790566,-13.70324398,25.39589215500899,27.518875611747063,35.76574213465362,,2008-04-01,2008,3.406104367063059,-6.248618967,1.376011963,11.0,49.17058313,33.37883952,-0.76,,,,,,,,30.88832611382562,0.7672790901137359,0.0866666666666666,,,
LUX,-0.111826875,4.287978966,-8.71704421,27.961172425254375,25.346590364250197,15.47497391471715,,2008-07-01,2008,3.406104367063059,-6.248618967,0.265967269,9.5,40.99029826,22.52588743,-0.21,,,,,,,,24.308749864159378,0.534180602006689,0.3933333333333333,,,
LUX,-4.441606611,2.116220544,9.913585120849234,-11.41791204,-6.101102533,20.130414767674075,,2008-10-01,2008,3.406104367063059,-6.248618967,-2.541154841,7.1,-19.26466325,-11.75388617,-0.6,,,,,,,,-10.34385825,-0.3769953583154081,-0.12,,,
LUX,-8.049026771,0.6623268488380691,14.947335929750128,-24.02151371,-24.03921155,-24.11324286,,2009-01-01,2009,0.3703664621988997,5.986464822975288,-3.234228442,6.4,-37.09679717,-23.83126419,-0.85,,,,,,,,-28.58144271,-0.540367540780508,0.2,,,
LUX,-4.896329524,-0.100453903,14.599870796296344,-30.81480565,-27.50683706,-15.63830946,,2009-04-01,2009,0.3703664621988997,5.986464822975288,-3.978837358,8.2,-40.90890399,-20.99363571,-0.11,,,,,,,,-32.51659793,-0.5141914191419141,-0.0333333333333333,,,
LUX,-2.372482169,-0.144594394,5.223935144137948,-18.41872106,-30.78241998,-82.51030885,,2009-07-01,2009,0.3703664621988997,5.986464822975288,-3.132815664,10.6,-34.32696797,-20.02486343,0.39,,,,,,,,-23.5988194,-0.4063480990582491,-0.3066666666666667,,,
LUX,2.606892415100126,1.064187296964276,-10.82528258,0.867245426,-4.586957032,-24.42946223,,2009-10-01,2009,0.3703664621988997,5.986464822975288,0.105572523,11.9,11.72768861,6.380479274,1.34,,,,,,,,1.8572029155047252,0.3550790477921133,-0.06,,,
