country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,OIL_YoY,IOD,HeatDry,HeatDryYoY,HeatDryF
AUS,4.221494626625111,3.146377281926478,3.980562026,-4.479626042,-3.745179027,9.763934885603476,,2001-10-01,2001,4.441667325898064,12.42929265954883,0.167316886,7.5,-23.36182497,0.622530745,-0.25,,,,,,,,,-0.3495471318349546,-0.2966666666666667,,,
AUS,4.052813019023294,2.976990533631259,2.4842258033114906,0.214271894,1.371322690110377,29.907973630618656,,2002-01-01,2002,2.9815994237782704,-4.74060658,1.337260067,9.0,-17.44242736,3.32999179,-0.03,,,,,,,,,-0.1817829457364341,-0.18,,,
AUS,4.924664831135761,2.818798589933682,-6.954901357,0.3243532117536807,10.597003596382336,-351.7832756,,2002-04-01,2002,2.9815994237782704,-4.74060658,1.325378753,8.9,-6.338137233,2.415577069,0.37,,,,,,,,,-0.08199121522694,-0.3966666666666666,,,
AUS,3.994046821095476,3.212841958109378,-6.238711478,2.220131472,20.12357324457412,-2353.639814,,2002-07-01,2002,2.9815994237782704,-4.74060658,2.14651839,9.7,3.360036781,2.693157543,1.08,,,,,,,,,0.062030817858554,-0.0433333333333333,,,
AUS,3.631448037201257,2.917766613438763,-8.253039287,8.563213732968645,24.57294327238293,280.83643275031534,,2002-10-01,2002,2.9815994237782704,-4.74060658,1.992524822,9.2,22.22363153,12.68349005,1.47,,,,,,,,,0.3821557503867974,0.1766666666666666,,,
AUS,3.0665514910238167,3.285149624639502,-12.59289066,10.458927865521318,27.421513196279545,350.14932233641787,,2003-01-01,2003,2.7346526794023305,-16.30057786,1.679256989,11.2,32.04818535,9.556251675,0.49,,,,,,,,,0.4912363808621507,0.0366666666666666,,,
AUS,1.7181722761101526,2.610964879126384,-13.82469344,7.461905967145288,24.068303838550783,257.4877185336388,,2003-04-01,2003,2.7346526794023305,-16.30057786,1.955066536,9.2,13.55093657,9.595027301,-0.43,,,,,,,,,0.0434609250398725,0.2333333333333333,,,
AUS,3.1982173956508264,2.594032559356906,-16.76228386,4.966086797356661,18.18729795641527,97.69772189651304,,2003-07-01,2003,2.7346526794023305,-16.30057786,3.231133966,10.1,11.68794671,6.154345421,0.16,,,,,,,,,0.0584077380952381,0.2033333333333333,,,
AUS,4.077357348582877,2.448463654,-22.02244349,12.005839677846009,19.131632450896376,51.64636089092043,,2003-10-01,2003,2.7346526794023305,-16.30057786,4.300440651,10.1,14.42415388,11.528048,0.32,,,,,,,,,0.0977611940298508,-0.1333333333333333,,,
AUS,4.613022033082159,2.035629845,-22.54787868,18.53440772,24.524676652839194,52.490968642058846,,2004-01-01,2004,2.3428707609228248,-11.39860222,4.341950658,10.6,10.13545149,14.00603967,0.14,,,,,,,,,0.0171537484116901,0.05,,,
