country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
SYC,,,0.9642717797224254,212.661787796918,-13.467706555388492,-83.97207506721469,,2000-01-01,2000,,6.9691968982681045,4.224744861,8.8,33.32654589,-2.31141697,-1.433333333,,,,,,,,
SYC,,,5.486232919894385,131.4854633665481,-33.49215157955343,-89.37597485397369,,2000-04-01,2000,,6.9691968982681045,5.244456811,9.2,28.20114123,4.737926428,-0.84,,,,,,,,
SYC,,,7.519027206718576,147.66794639960645,-25.9195345085666,-100.18649461857476,,2000-07-01,2000,,6.9691968982681045,3.973172353,8.9,23.58391285,-0.723836869,-0.56,,,,,,,,
SYC,,,13.907255686737033,251.7632478073045,-11.833831882533165,-76.17980290034951,,2000-10-01,2000,,6.9691968982681045,2.90559431,7.6,19.92049539,-0.026906846,-0.803333333,,,,,,,,
SYC,,,18.224086955454943,-53.293851018432505,-6.744683317403577,273.6623456760643,,2001-01-01,2001,,2.85428759657885,2.197505186,9.5,6.926041503,-1.657046314,-0.613333333,,,,,,,,
SYC,,,3.2700159772767634,-45.07534019436862,80.39709281724288,1005.5515941398362,,2001-04-01,2001,,2.85428759657885,0.996298327,8.6,0.144938506,-2.29734062,-0.34,,,,,,,,
SYC,,,-3.241760477023492,-44.988894068797016,13.280155920449976,-32957.05048837529,,2001-07-01,2001,,2.85428759657885,0.489236293,8.0,-9.971647845,7.581183167,-0.096666667,,,,,,,,
SYC,,,-6.835192069392814,-51.26662007932067,55.326057882333465,438.62938611835614,,2001-10-01,2001,,2.85428759657885,0.167318294,7.5,-23.36182497,0.622530745,-0.306666667,,,,,,,,
SYC,,,-10.271563174497755,170.17348816908435,51.98227170054348,-36.92956908713233,,2002-01-01,2002,,-6.322696524108062,1.337258657,9.0,-17.44242736,3.32999179,-0.06,,,,,,,,
SYC,,,-3.9623874028742234,134.18554048361352,-42.11561130763122,-107.13059066515387,,2002-04-01,2002,,-6.322696524108062,1.325378753,8.9,-6.338137233,2.415577069,0.35,,,,,,,,
