run,iteration,obj,log_likelihood,trace_Q,abs_trace_Q,trace_R,abs_trace_R,trace_P0,abs_trace_P0,eig_min_Q,eig_max_Q,eig_min_R,eig_max_R,eig_min_P0,eig_max_P0
intervention,0,,,0.004273667220354049,0.004273667220354049,1.2663138279242832,1.2663138279242832,0.0647545009479777,0.0647545009479777,1.1892054133064094e-05,0.0009113973447433294,0.061599144050252894,0.9158372545042635,3.5839641734653907e-06,0.03713544273374726
intervention,1,1.580411147946059,-210.2404393781982,0.004294977549559928,0.004294977549559928,1.6409508700454538,1.6409508700454538,0.0647545009479777,0.0647545009479777,1.1888972496010836e-05,0.0009301840402333214,0.13869393874279362,0.985947267651798,3.5839641734653907e-06,0.03713544273374726
intervention,2,1.5564872655501831,-203.4706358137771,0.004317751696149267,0.004317751696149267,1.6210204119748217,1.6210204119748217,0.0647545009479777,0.0647545009479777,1.1884571198225415e-05,0.0009572968738429827,0.1448681648441399,0.9655529493029941,3.5839641734653907e-06,0.03713544273374726
intervention,3,1.5336516105959919,-201.47552368611215,0.004345500848266881,0.004345500848266881,1.597266322933899,1.597266322933899,0.0647545009479777,0.0647545009479777,1.1879308305023166e-05,0.0009922927553550891,0.14320156081540764,0.9523621325581686,3.5839641734653907e-06,0.03713544273374726
intervention,4,1.515545257462909,-199.8561714029708,0.0043773897088863764,0.0043773897088863764,1.5785310991459052,1.5785310991459052,0.0647545009479777,0.0647545009479777,1.1873179330248952e-05,0.0010345075042710121,0.14128729556833838,0.9424636016257102,3.5839641734653907e-06,0.03713544273374726
intervention,5,1.5006264840858812,-198.4940925018635,0.004413532190106089,0.004413532190106089,1.5631506101912618,1.5631506101912618,0.0647545009479777,0.0647545009479777,1.1866377790263094e-05,0.0010833285262659411,0.13960618097300698,0.9344886651922039,3.5839641734653907e-06,0.03713544273374726
intervention,6,1.4881046908556033,-197.33495295618386,0.0044542596787255796,0.0044542596787255796,1.5502611440725045,1.5502611440725045,0.0647545009479777,0.0647545009479777,1.1859081626336993e-05,0.001138346984004471,0.13813487721086887,0.9279548368013535,3.5839641734653907e-06,0.03713544273374726
intervention,7,1.4774514622964383,-196.3372289805868,0.004499969380227212,0.004499969380227212,1.5393075601723019,1.5393075601723019,0.0647545009479777,0.0647545009479777,1.185143369775216e-05,0.001199366131228371,0.1368281045113286,0.9225556288782811,3.5839641734653907e-06,0.03713544273374726
intervention,8,1.4682760814882398,-195.46887023813312,0.004551065864167121,0.004551065864167121,1.5298849444420415,1.5298849444420415,0.0647545009479777,0.0647545009479777,1.1843468944482172e-05,0.0012663568102614167,0.1356489965954723,0.9180625480515312,3.5839641734653907e-06,0.03713544273374726
intervention,9,1.4602730279882021,-194.70411957861535,0.004607462928783369,0.004607462928783369,1.5216788807960597,1.5216788807960597,0.0647545009479777,0.0647545009479777,1.1821912447724718e-05,0.0013392358726334653,0.13457020354856775,0.914291923064144,3.5839641734653907e-06,0.03713544273374726
intervention,10,1.4528339634801006,-194.03917787703162,0.005028332230613074,0.005028332230613074,1.514990843404994,1.514990843404994,0.0647545009479777,0.0647545009479777,1.560812132214301e-05,0.0014271413472292395,0.133678950209165,0.9114058643367211,3.5839641734653907e-06,0.03713544273374726
