lat,lon,value
-24.0,-48.0,12.510489463806152
-24.0,-47.0,11.838255882263184
-24.0,-46.0,8.778007507324219
-24.0,-45.0,7.585504531860352
-24.0,27.0,-1.8721027374267578
-24.0,28.0,-1.860540509223938
-24.0,29.0,-1.1586942672729492
-24.0,30.0,-0.5944980382919312
-24.0,31.0,-1.9811204671859741
-24.0,32.0,-1.8994868993759155
-23.0,-71.0,-0.867704451084137
-23.0,-70.0,-0.4416836202144623
-23.0,-69.0,0.7980552315711975
-23.0,-68.0,0.6697332859039307
-23.0,-67.0,0.6979295015335083
-23.0,-56.0,8.375482559204102
-23.0,-55.0,8.855259895324707
-23.0,-54.0,11.540512084960938
-23.0,-53.0,12.125328063964844
-23.0,-52.0,11.414569854736328
-23.0,-51.0,12.865246772766113
-23.0,-50.0,14.089679718017578
-23.0,-49.0,14.696605682373047
-23.0,-48.0,11.137118339538574
-23.0,-47.0,11.580520629882812
-23.0,-46.0,12.676336288452148
-23.0,-45.0,13.309009552001953
-23.0,-44.0,10.19597053527832
-23.0,-43.0,4.214836120605469
-23.0,-42.0,3.1509838104248047
-23.0,27.0,-1.7132610082626343
-23.0,28.0,-1.6478396654129028
-23.0,29.0,-1.6345220804214478
-23.0,30.0,-1.5531121492385864
-23.0,31.0,-1.9237370491027832
-23.0,32.0,-1.9573559761047363
-22.0,-70.0,-0.14269299805164337
-22.0,-69.0,0.7307202816009521
-22.0,-68.0,0.2936132848262787
-22.0,-58.0,2.9528446197509766
-22.0,-57.0,6.755021572113037
-22.0,-56.0,7.5955681800842285
-22.0,-55.0,6.813502311706543
-22.0,-54.0,9.572948455810547
-22.0,-53.0,10.980405807495117
-22.0,-52.0,12.72170639038086
-22.0,-51.0,14.562661170959473
-22.0,-50.0,14.711533546447754
-22.0,-49.0,13.302669525146484
-22.0,-48.0,11.95390510559082
-22.0,-47.0,11.79822063446045
-22.0,-46.0,13.053549766540527
-22.0,-45.0,13.805028915405273
-22.0,-44.0,10.566261291503906
-22.0,-43.0,6.456264972686768
-22.0,-42.0,2.908897638320923
-22.0,-41.0,0.009550458751618862
-22.0,29.0,-1.878453016281128
-22.0,30.0,-1.8203704357147217
-22.0,31.0,-1.7874640226364136
-21.0,-70.0,-0.12146691977977753
-21.0,-69.0,0.5827740430831909
-21.0,-68.0,-0.07751057296991348
-21.0,-58.0,3.7108657360076904
-21.0,-57.0,5.295753479003906
-21.0,-56.0,5.06694221496582
-21.0,-55.0,8.358572006225586
-21.0,-54.0,9.956639289855957
-21.0,-53.0,11.177266120910645
-21.0,-52.0,11.488045692443848
-21.0,-51.0,11.560362815856934
-21.0,-50.0,11.267049789428711
-21.0,-49.0,11.295086860656738
-21.0,-48.0,10.369558334350586
-21.0,-47.0,11.359957695007324
-21.0,-46.0,9.910053253173828
-21.0,-45.0,10.120121955871582
-21.0,-44.0,7.919495105743408
-21.0,-43.0,4.232298374176025
-21.0,-42.0,2.161062717437744
-21.0,-41.0,-1.0100646018981934
-21.0,-40.0,-4.343366622924805
-20.0,-70.0,0.1558784693479538
