quarter,EX_YoY,country
1999-01-01,-0.029841775868433285,World
1999-04-01,1.137781047901032,World
1999-07-01,8.405028033376794,World
1999-10-01,10.174567808683864,World
2000-01-01,14.249000545404812,World
2000-04-01,14.930654076325855,World
2000-07-01,11.940356180392818,World
2000-10-01,6.297694062422354,World
2001-01-01,5.038863303705643,World
2001-04-01,-2.7123282675893368,World
2001-07-01,-7.273914075157517,World
2001-10-01,-9.339472262292414,World
2002-01-01,-9.268190641561558,World
2002-04-01,3.6467950553172646,World
2002-07-01,11.689536569398818,World
2002-10-01,14.865175826012278,World
2003-01-01,21.33789911698949,World
2003-04-01,15.027110724627079,World
2003-07-01,11.907374014247264,World
2003-10-01,18.87380766944706,World
2004-01-01,19.541235168390436,World
2004-04-01,20.60585879145207,World
2004-07-01,22.30044362590775,World
2004-10-01,20.388318754185654,World
2005-01-01,14.789648220676789,World
2005-04-01,16.319339944105238,World
2005-07-01,14.277091350409087,World
2005-10-01,9.313710187961632,World
2006-01-01,13.44580114835301,World
2006-04-01,14.680637183914813,World
2006-07-01,16.459176315328516,World
2006-10-01,16.505320363521548,World
2007-01-01,14.482284559621394,World
2007-04-01,13.583698273902023,World
2007-07-01,14.991095570638159,World
2007-10-01,20.424087411541958,World
2008-01-01,23.88027690924379,World
2008-04-01,27.459573400189697,World
2008-07-01,23.00831827149885,World
2008-10-01,-9.82584110941227,World
2009-01-01,-30.80234666854831,World
2009-04-01,-32.68811737384727,World
2009-07-01,-25.384867118556954,World
2009-10-01,2.113823770524248,World
2010-01-01,27.750390139923287,World
2010-04-01,27.134358577581175,World
2010-07-01,19.14922317524219,World
2010-10-01,17.63612558197196,World
2011-01-01,22.343673858136025,World
2011-04-01,24.19112196489317,World
2011-07-01,20.977152147926216,World
2011-10-01,9.232169653397237,World
2012-01-01,5.157735387783702,World
2012-04-01,-0.6320839468722306,World
2012-07-01,-3.450058193590544,World
2012-10-01,1.4664428974035415,World
2013-01-01,0.8800317318100381,World
2013-04-01,1.5099882120430674,World
2013-07-01,3.0308702214553396,World
2013-10-01,3.687368000770763,World
2014-01-01,1.3159189369813307,World
2014-04-01,1.9231284473230303,World
2014-07-01,2.5990192720801497,World
2014-10-01,-2.9562194827729926,World
2015-01-01,-11.259002452995526,World
2015-04-01,-11.870932379146627,World
2015-07-01,-13.333908828803775,World
2015-10-01,-11.49030977487644,World
2016-01-01,-8.4873494165286,World
2016-04-01,-3.673403748813453,World
2016-07-01,-2.305335142482745,World
2016-10-01,1.4514638294033544,World
2017-01-01,12.514342439478687,World
2017-04-01,8.72654394236041,World
2017-07-01,12.352865876484366,World
2017-10-01,14.437462279719604,World
2018-01-01,14.32074704785653,World
2018-04-01,13.428809935600228,World
2018-07-01,8.809761506133107,World
2018-10-01,4.36840893533208,World
2019-01-01,-2.339084641380651,World
2019-04-01,-3.6604720948361757,World
2019-07-01,-3.031714797106111,World
2019-10-01,-2.541995271759112,World
2020-01-01,-17.00522666797285,World
2020-04-01,-21.408989232234475,World
2020-07-01,-4.529002746066634,World
2020-10-01,3.1625352113026306,World
2021-01-01,31.290001741017726,World
2021-04-01,47.486356948522946,World
2021-07-01,24.62520996984474,World
2021-10-01,22.59851328878042,World
2022-01-01,19.545831376945078,World
2022-04-01,16.16887689642099,World
2022-07-01,12.687706559474954,World
2022-10-01,0.24620540819242365,World
2023-01-01,-1.0965967935640863,World
2023-04-01,-7.3836833529038355,World
2023-07-01,-7.361559313605126,World
2023-10-01,-1.434337169586275,World
2024-01-01,-1.78365840748973,World
2024-04-01,1.9959427470454205,World
2024-07-01,3.8893501119301233,World
2024-10-01,2.592044393541415,World
2025-01-01,15.374115601015337,World
2025-04-01,19.477401896329827,World
2025-07-01,19.883188421222897,World
