lat,lon,population
-27.0,-55.0,394846.42319105717
-27.0,-54.0,309441.0536873666
-27.0,-53.0,744267.5884477561
-27.0,-52.0,412821.4545666481
-27.0,-51.0,370085.10780741705
-27.0,-50.0,358852.3855811261
-27.0,-49.0,2240822.342241561
-27.0,-48.0,167304.0339562024
-27.0,20.0,7947.329645544465
-27.0,21.0,6894.7207659804735
-27.0,22.0,10177.019376767996
-27.0,23.0,160881.02607923053
-27.0,24.0,137151.4529651014
-27.0,25.0,219550.3562509995
-27.0,26.0,207750.93035058997
-27.0,27.0,777273.8950478269
-27.0,28.0,1438446.8213407663
-27.0,29.0,377088.005690016
-27.0,30.0,328940.88643033395
-27.0,31.0,759535.4071687874
-27.0,32.0,528953.4699726361
-27.0,33.0,142496.31872394934
-26.0,-71.0,10842.03905500854
-26.0,-70.0,18027.73047252305
-26.0,-69.0,640.0739236006513
-26.0,-68.0,248.1184705278811
-26.0,-55.0,947583.2528882595
-26.0,-54.0,213231.5111850865
-26.0,-53.0,575400.4146323798
-26.0,-52.0,165511.35837248224
-26.0,-51.0,235313.7581101425
-26.0,-50.0,413796.3213231215
-26.0,-49.0,2724088.2964753076
-26.0,-48.0,49146.04477155711
-26.0,20.0,1417.7096266364906
-26.0,21.0,890.0903088924252
-26.0,22.0,22402.400010228164
-26.0,23.0,15131.584974004567
-26.0,24.0,57989.365059668926
-26.0,25.0,196271.85314341914
-26.0,26.0,591020.6553397356
-26.0,27.0,793670.6174751767
-26.0,28.0,13972732.969701082
-26.0,29.0,1270340.696236989
-26.0,30.0,253047.08291789563
-26.0,31.0,881172.3121797467
-26.0,32.0,1932068.7532936868
-25.0,-71.0,57.25784237176534
-25.0,-70.0,13754.255535623677
-25.0,-69.0,85.28807793272566
-25.0,-68.0,324.2726655184084
-25.0,-55.0,556673.1449696019
-25.0,-54.0,571375.5715323477
-25.0,-53.0,575022.2981988157
-25.0,-52.0,185810.08101514284
-25.0,-51.0,389316.25724283746
-25.0,-50.0,705072.2363810104
-25.0,-49.0,2369143.754020376
-25.0,-48.0,165274.61270685183
-25.0,-47.0,6170.24662159053
-25.0,20.0,1224.661402408587
-25.0,21.0,202.62608525823828
-25.0,23.0,9137.407598508209
-25.0,24.0,18896.3570886026
-25.0,26.0,869313.1364971099
-25.0,27.0,396843.24086726835
-25.0,28.0,1239527.743246585
-25.0,29.0,1154847.051448687
-25.0,30.0,931932.801478202
-25.0,31.0,1581532.9891337615
-25.0,32.0,121878.00664943151
-24.0,-71.0,507.7875904665416
-24.0,-70.0,397231.41615545674
-24.0,-69.0,8582.36750312403
-24.0,-68.0,2017.7624761736438
-24.0,-67.0,1831.6625214473845
-24.0,-56.0,157994.02517051197
-24.0,-55.0,131834.04455467762
-24.0,-54.0,310855.9655744387
-24.0,-53.0,423599.6525101505
-24.0,-52.0,448761.1657412714
-24.0,-51.0,385513.1056986306
-24.0,-50.0,251750.8389119051
-24.0,-49.0,307912.52835486317
-24.0,-48.0,543776.5071630134
-24.0,-47.0,13504631.691839887
-24.0,-46.0,5517033.148849262
-24.0,-45.0,260488.95856477652
-24.0,27.0,22422.029249538868
-24.0,28.0,114019.26941976248
-24.0,29.0,1093093.6139935385
-24.0,30.0,1407679.8649339215
-24.0,31.0,401270.8678185946
-24.0,32.0,54808.42689135917
-23.0,-71.0,183.1277175396645
-23.0,-70.0,25816.425625651224
-23.0,-69.0,10208.802886714358
-23.0,-68.0,11123.719724649527
-23.0,-67.0,912.0486474981294
-23.0,-56.0,291228.5384298185
-23.0,-55.0,97765.6431690788
-23.0,-54.0,96583.3288780255
-23.0,-53.0,235175.9158854251
-23.0,-52.0,1091852.4156749488
-23.0,-51.0,1215810.3745440906
-23.0,-50.0,642372.2831861814
-23.0,-49.0,483307.9772512261
